timestamp,timestamp_sample,device_id,error_count,pressure,temperature
201489174,201489163,3997730,0,1016.81,59.41
201509217,201509207,3997730,0,1016.83997,59.41
201609522,201609513,3997730,0,1016.79,59.41
201689740,201689730,3997730,0,1016.82,59.41
201799989,201799980,3997730,0,1016.79,59.42
201890265,201890254,3997730,0,1016.87,59.42
202000621,202000611,3997730,0,1016.87,59.43
202090913,202090903,3997730,0,1016.88995,59.42
202201310,202201300,3997730,0,1016.92,59.44
202291519,202291507,3997730,0,1016.89996,59.43
202401861,202401852,3997730,0,1016.81,59.42
202492107,202492098,3997730,0,1016.88,59.42
202602383,202602373,3997730,0,1016.89996,59.42
202692597,202692587,3997730,0,1016.88,59.41
202802971,202802962,3997730,0,1016.88,59.399998
202893212,202893203,3997730,0,1016.92,59.379997
203003577,203003568,3997730,0,1016.93,59.379997
203093815,203093804,3997730,0,1016.88,59.37
203204184,203204172,3997730,0,1016.88,59.359997
203294380,203294370,3997730,0,1016.89996,59.35
203404689,203404679,3997730,0,1016.93,59.34
203494952,203494942,3997730,0,1016.91,59.34
203605354,203605345,3997730,0,1016.86,59.329998
203695549,203695539,3997730,0,1016.86,59.329998
203805895,203805886,3997730,0,1016.88995,59.32
203896114,203896103,3997730,0,1016.87,59.32
204006430,204006420,3997730,0,1016.86,59.309998
204096638,204096628,3997730,0,1016.86,59.3
204207023,204207013,3997730,0,1016.88,59.3
204297225,204297216,3997730,0,1016.91,59.289997
204407552,204407531,3997730,0,1016.92,59.289997
204497766,204497756,3997730,0,1016.83997,59.28
204608129,204608119,3997730,0,1016.86,59.28
204698326,204698317,3997730,0,1016.88,59.27
204808653,204808643,3997730,0,1016.85,59.27
204898951,204898941,3997730,0,1016.88995,59.26
205009244,205009235,3997730,0,1016.86,59.25
205099461,205099451,3997730,0,1016.88995,59.25
205199759,205199749,3997730,0,1016.89996,59.239998
205299986,205299977,3997730,0,1016.86,59.23
205400319,205400310,3997730,0,1016.89996,59.23
205500597,205500588,3997730,0,1016.91,59.219997
205600884,205600874,3997730,0,1016.88995,59.219997
205701155,205701144,3997730,0,1016.88,59.21
205801452,205801442,3997730,0,1016.86,59.199997
205901686,205901675,3997730,0,1016.87,59.199997
206001980,206001971,3997730,0,1016.85,59.19
206102245,206102234,3997730,0,1016.89996,59.18
206202484,206202473,3997730,0,1016.91,59.18
206302770,206302760,3997730,0,1016.93,59.18
206403097,206403087,3997730,0,1016.94995,59.17
206503375,206503366,3997730,0,1016.89996,59.16
206603661,206603652,3997730,0,1016.92,59.149998
206703889,206703880,3997730,0,1016.93,59.14
206804126,206804117,3997730,0,1016.93,59.12
206904428,206904419,3997730,0,1016.94995,59.1
207004794,207004784,3997730,0,1016.94995,59.07
207105084,207105073,3997730,0,1017.07,59.059998
207205374,207205363,3997730,0,1016.98,59.02
207305681,207305671,3997730,0,1017.1,59.0
207405961,207405951,3997730,0,1017.05,58.949997
207506244,207506235,3997730,0,1017.01996,58.93
207606537,207606527,3997730,0,1017.06,58.879997
207706774,207706764,3997730,0,1017.19,58.859997
207807121,207807110,3997730,0,1017.14996,58.809998
207907366,207907356,3997730,0,1017.13995,58.789997
208007642,208007632,3997730,0,1017.02997,58.76
208107887,208107876,3997730,0,1017.1,58.739998
208208178,208208168,3997730,0,1016.92,58.719997
208308399,208308389,3997730,0,1016.92,58.699997
208408672,208408651,3997730,0,1016.64996,58.68
208509020,208509011,3997730,0,1016.64996,58.66
208589283,208589203,3997730,0,1016.63995,58.64
208709550,208709540,3997730,0,1016.63,58.6
208789778,208789769,3997730,0,1016.67,58.579998
208900108,208900098,3997730,0,1016.70996,58.539997
208990347,208990338,3997730,0,1016.66,58.52
209100635,209100625,3997730,0,1016.63995,58.48
209190972,209190896,3997730,0,1016.64996,58.46
209301224,209301214,3997730,0,1016.57,58.43
209391466,209391457,3997730,0,1016.63995,58.41
209501773,209501762,3997730,0,1016.69,58.37
209591974,209591964,3997730,0,1016.68,58.35
209702271,209702262,3997730,0,1016.6,58.329998
209792486,209792476,3997730,0,1016.58997,58.3
209902784,209902771,3997730,0,1016.61,58.27
209993060,209993051,3997730,0,1016.6,58.25
210103379,210103369,3997730,0,1016.57,58.219997
210193584,210193575,3997730,0,1016.61,58.199997
210303903,210303893,3997730,0,1016.57996,58.17
210394145,210394136,3997730,0,1016.56,58.149998
210504424,210504413,3997730,0,1016.6,58.12
210594669,210594659,3997730,0,1016.62,58.1
210705011,210704997,3997730,0,1016.52997,58.07
210795223,210795212,3997730,0,1016.56,58.059998
210905490,210905478,3997730,0,1016.55,58.03
210995788,210995778,3997730,0,1016.54,58.01
211106111,211106100,3997730,0,1016.5,57.98
211196358,211196348,3997730,0,1016.55,57.969997
211306687,211306677,3997730,0,1016.50995,57.94
211396972,211396962,3997730,0,1016.56,57.92
211507339,211507329,3997730,0,1016.52997,57.89
211597542,211597532,3997730,0,1016.61,57.879997
211707857,211707847,3997730,0,1016.50995,57.85
211798105,211798095,3997730,0,1016.54,57.82
211908423,211908414,3997730,0,1016.55,57.8
211998663,211998652,3997730,0,1016.6,57.78
212109026,212109016,3997730,0,1016.54,57.75
212199302,212199271,3997730,0,1016.66,57.73
212299609,212299600,3997730,0,1016.6,57.699997
212399835,212399825,3997730,0,1016.57,57.69
212500172,212500162,3997730,0,1016.58997,57.66
212600395,212600384,3997730,0,1016.57,57.629997
212700668,212700658,3997730,0,1016.54,57.6
212800969,212800960,3997730,0,1016.49,57.579998
212901303,212901291,3997730,0,1016.49,57.559998
213001533,213001524,3997730,0,1016.54,57.539997
213101822,213101812,3997730,0,1016.54,57.51
213202053,213202044,3997730,0,1016.52997,57.489998
213302375,213302366,3997730,0,1016.54,57.469997
213402618,213402608,3997730,0,1016.52997,57.449997
213502949,213502940,3997730,0,1016.56,57.42
213603284,213603273,3997730,0,1016.51996,57.399998
213703496,213703486,3997730,0,1016.56,57.37
213803750,213803740,3997730,0,1016.55,57.36
213903994,213903984,3997730,0,1016.49,57.32
214004265,214004256,3997730,0,1016.5,57.309998
214104543,214104534,3997730,0,1016.47,57.28
214204794,214204785,3997730,0,1016.47,57.26
214305165,214305156,3997730,0,1016.49,57.23
214405397,214405388,3997730,0,1016.50995,57.219997
214505783,214505771,3997730,0,1016.42,57.18
214606007,214605996,3997730,0,1016.58997,57.16
214706304,214706295,3997730,0,1016.5,57.14
214806575,214806565,3997730,0,1016.49,57.12
214906949,214906940,3997730,0,1016.5,57.1
215007339,215007330,3997730,0,1016.52997,57.079998
215107560,215107551,3997730,0,1016.5,57.059998
215207839,215207828,3997730,0,1016.5,57.039997
215308109,215308098,3997730,0,1016.5,57.01
215408401,215408392,3997730,0,1016.50995,57.0
