timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
992000,992000,0.9982936,0.00021198069,0.0007657226,0.058389746,-0.0047204047,-0.0018554885,-0.0057814834,-0.00031075525,-2.9242727e-05,0.04058777,2.3127934e-10,7.665553e-10,-9.50067e-13,0.0,0.0,-1.2591093e-08,0.27928314,-2.8667273e-09,0.4714669,0.0,0.0,0.0,0.0,0.0,6.5310783e-06,0.0026070015,0.0026069991,0.0019085935,10.250404,10.250404,0.20441438,0.26028323,0.26028323,2.0439065,9.999995e-07,9.999995e-07,9.931748e-07,4.0000004e-06,4.0000004e-06,3.9999977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2000000,1984000,0.99827224,-0.00029144023,0.00092428137,0.058750603,-0.01510207,-0.006053677,-0.0013490468,-0.0033510374,-0.0010850572,0.014055999,-7.0840236e-09,5.8764715e-07,-6.464155e-10,0.0,0.0,6.496175e-07,0.27928314,-2.8667273e-09,0.4714669,0.0,0.0,0.0,0.0,0.0,3.742367e-06,0.0053433226,0.0053433185,0.0010788562,1.1343136,1.1343143,0.2439753,0.28058797,0.28058803,0.56736153,9.880733e-07,9.880733e-07,6.145888e-07,4.0000004e-06,4.0000004e-06,3.9892434e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2992000,2984000,0.99825805,0.00039305977,2.1303025e-05,0.05899778,6.3221785e-05,0.0058269035,0.01198113,7.93997e-05,0.00041589187,0.033664715,-3.109927e-06,5.4477587e-06,-6.378661e-09,0.0,0.0,-2.2735333e-06,0.27928314,-2.8667273e-09,0.4714669,0.0,0.0,0.0,0.0,0.0,3.2559922e-06,0.0050281147,0.0050281156,0.0009318232,1.2581048,1.2581053,0.23437582,0.24749838,0.24749842,0.52919567,6.3767067e-07,6.37671e-07,2.1007916e-07,4.0000004e-06,4.0000004e-06,3.964745e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3996000,3996000,0.99831754,-0.0004641773,-0.00057901937,0.05797868,0.004615248,-0.0014750655,-0.0052240416,-2.846451e-05,0.0003253314,0.025569465,-4.374058e-07,5.4250536e-06,-5.1726783e-09,0.0,0.0,4.3833566e-07,0.27928314,-2.8667273e-09,0.4714669,0.0,0.0,0.0,0.0,0.0,2.4193132e-06,0.0024259496,0.002425943,0.00071702985,0.73074234,0.73074347,0.21666183,0.18928042,0.18928042,0.5513174,2.6845913e-07,2.6845885e-07,7.9992134e-08,4.0000004e-06,4.0000004e-06,3.8993903e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
4992000,4984000,0.99829656,-0.0005683785,-0.0010825811,0.05833196,0.0021400207,-0.0013254771,0.024185542,0.00040734696,-0.00054963387,0.03971102,-1.956045e-06,5.2593437e-06,-5.9240053e-09,0.0,0.0,1.2665781e-06,0.27928314,-2.8667273e-09,0.4714669,0.0,0.0,0.0,0.0,0.0,1.94372e-06,0.0012530271,0.0012530236,0.000568602,0.46372685,0.46372712,0.16255552,0.14412811,0.14412814,0.5595344,9.996665e-08,9.996629e-08,3.7709608e-08,4.0000004e-06,4.0000004e-06,3.8182643e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6000000,5996000,0.99825263,2.4683242e-05,-0.0008459743,0.059085563,0.014261205,-0.0021906663,0.008520126,0.0040634386,-0.0027496181,0.024852524,-5.168249e-06,2.4678409e-06,-4.395893e-09,0.0,0.0,8.850167e-06,0.27928314,-2.8667273e-09,0.4714669,0.0,0.0,0.0,0.0,0.0,1.6321171e-06,0.0005965742,0.00059657224,0.00046576397,0.2977572,0.29775795,0.15360653,0.11646581,0.11646586,0.534174,3.304258e-08,3.3042202e-08,2.0252442e-08,4.0000004e-06,4.0000004e-06,3.7844636e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7000000,6996000,0.999995,0.000606405,0.00055078755,-0.0030898326,0.008121821,0.0035912446,0.022269025,0.006483451,-0.0019502118,0.03958162,-6.7835617e-06,-4.08555e-07,5.865695e-08,0.0,0.0,1.074837e-05,0.2767152,-0.03482138,0.47155198,0.0,0.0,0.0,0.0,0.0,1.372841e-06,0.00032990714,0.00032990566,0.001344761,0.2181532,0.21815331,0.20196651,0.15322602,0.15322614,0.5386302,1.37677025e-08,1.37673934e-08,1.3214206e-08,4.0000004e-06,4.0000004e-06,3.523096e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7996000,7996000,0.999998,0.0006919448,0.00062309456,-0.0018293534,-0.007803396,0.016437972,0.015583448,-0.00069016527,0.005648937,0.05076358,-6.655283e-06,-1.6630763e-06,-1.34711655e-08,0.0,0.0,1.0319364e-05,0.2767152,-0.03482138,0.47155198,0.0,0.0,0.0,0.0,0.0,1.3289945e-06,0.00030190163,0.00030189936,0.0003514279,0.1688158,0.1688162,0.24269304,0.1059846,0.10598466,0.5882145,6.4411396e-09,6.4409007e-09,1.3039339e-08,4.0000004e-06,4.0000004e-06,2.854903e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8996000,8976000,0.99999934,0.00075114076,0.00036122807,-0.0009095009,-0.01927502,0.006463194,0.016442582,-0.009448287,0.005592919,0.06642275,-5.7697002e-06,-1.1572124e-06,-5.2744298e-08,0.0,0.0,1.562145e-05,0.2767152,-0.03482138,0.47155198,0.0,0.0,0.0,0.0,0.0,1.3272689e-06,0.00012783482,0.00012783322,0.00023521855,0.15769161,0.15769245,0.23546419,0.0999141,0.0999143,0.61989194,5.42656e-09,5.426351e-09,1.229794e-08,4.0000004e-06,4.0000004e-06,1.981157e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
9996000,9996000,0.9999987,0.0010306472,0.00011532628,-0.00127652,0.0050451,0.013777092,0.031528644,-0.0020175783,0.0062137092,0.06759641,-5.7831007e-06,-1.0255054e-06,9.538819e-07,0.0,0.0,1.812484e-05,0.2767152,-0.03482138,0.47155198,0.0,0.0,0.0,0.0,0.0,1.3265844e-06,5.2987438e-05,5.298521e-05,0.0002124173,0.08587074,0.08587159,0.1345569,0.08744724,0.087447405,0.6004988,5.4126446e-09,5.4124367e-09,1.0818726e-08,4.0000004e-06,4.0000004e-06,1.8933995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
