timestamp,load,ram_usage
508000,0.1,0.47150576
1008000,0.3,0.47132918
1508000,0.22,0.4732063
2020000,0.3846154,0.47356102
2508000,0.6458333,0.4734613
3008000,0.12,0.47388348
3508000,0.18,0.4730205
4012000,0.5686275,0.47311828
4508000,0.1632653,0.47301978
5008000,0.08,0.4730147
5508000,0.2,0.4729671
6008000,0.32,0.47317576
6508000,0.32,0.4748654
7008000,0.14,0.47477365
7508000,0.12,0.47475174
8008000,0.14,0.4744632
8508000,0.24,0.47416866
9008000,0.14,0.47405523
9508000,0.06,0.47417575
10008000,0.12,0.4736861
10508000,0.02,0.47365147
11008000,0.2,0.473501
11508000,0.18,0.47351676
12008000,0.0,0.47355777
12508000,0.2,0.47354624
13008000,0.22,0.47353154
13508000,0.24,0.47355282
14008000,0.22,0.4736012
14508000,0.08,0.4735657
15008000,0.32,0.47356054
15508000,0.06,0.47354922
16008000,0.16,0.47354934
16508000,0.34,0.4736393
17008000,0.18,0.47416383
17508000,0.2,0.4739815
18008000,0.1,0.47402853
18508000,0.06,0.47407123
19008000,0.16,0.47396478
19508000,0.28,0.47458082
20008000,0.12,0.47547796
20508000,0.14,0.47545668
21008000,0.5,0.47577265
21508000,0.26,0.47654158
22008000,0.54,0.47727478
22508000,0.3529412,0.47725552
23008000,0.1632653,0.47753072
23508000,0.38,0.4784828
24012000,0.078431375,0.47868958
24508000,0.040816326,0.47859204
25008000,0.18,0.48021623
25508000,0.48,0.48142236
26008000,0.48,0.48261657
26508000,0.12,0.48254946
27008000,0.44,0.48319763
27508000,0.06,0.47943264
28008000,0.3,0.4798287
28508000,0.0,0.48144218
29008000,0.3,0.48146662
29508000,0.34,0.48181215
30008000,0.24,0.48200628
30508000,0.0,0.48174384
31008000,0.12,0.48174998
31508000,0.5,0.48238346
32016000,0.19607843,0.4829817
32508000,0.040816326,0.48422766
33008000,0.06,0.48427516
33508000,0.16,0.48362374
34008000,0.1,0.48363745
34508000,0.16,0.4835689
35016000,0.39215687,0.48365852
35508000,0.3877551,0.48360366
36008000,0.14,0.48380393
36508000,0.12,0.48574516
37008000,0.06,0.48793322
37508000,0.2,0.49010733
38008000,0.08,0.49132717
38508000,0.3,0.49178073
39008000,0.5,0.4924949
39508000,0.36,0.48892972
40008000,0.16,0.49076524
40508000,0.2,0.49102923
41008000,0.16,0.49100316
41508000,0.28,0.4917177
42008000,0.32,0.49154475
42508000,0.22,0.49154714
43008000,0.22,0.4927985
43508000,0.4,0.49316943
44008000,0.28,0.4935797
44508000,0.44,0.49352255
45008000,0.12,0.49351653
45508000,0.26,0.493425
46012000,0.29411766,0.4934018
46508000,0.06122449,0.4933988
47008000,0.08,0.4934546
47508000,0.2,0.49468562
48008000,0.1,0.4949269
48508000,0.28,0.4948445
49008000,0.15686275,0.4940039
49508000,0.4489796,0.49399704
50008000,0.32,0.49455175
50508000,0.38,0.494202
51008000,0.14,0.49423566
51508000,0.3,0.49416316
52008000,0.34,0.49402073
52508000,0.46,0.49399656
53008000,0.44,0.49388856
53508000,0.08,0.49384862
54008000,0.04,0.49381748
54508000,0.06,0.49378487
55008000,0.0,0.49393752
55508000,0.46,0.49394822
56008000,0.14,0.4939416
56508000,0.6,0.49399993
57008000,0.18,0.49358138
57508000,0.28,0.49345207
58008000,0.02,0.4933538
58508000,0.3,0.4933651
59008000,0.0,0.493365
59508000,0.42,0.4933567
60008000,0.02,0.49336848
60508000,0.18,0.4933704
61008000,0.38,0.49336475
61508000,0.48,0.4932885
62008000,0.12,0.4935957
62508000,0.1,0.4962948
63008000,0.0,0.4957384
63508000,0.02,0.49122205
64008000,0.04,0.49114844
64508000,0.2,0.49084234
65008000,0.18,0.4911084
65508000,0.2,0.49057305
66008000,0.18,0.4904026
66508000,0.28,0.49049884
67008000,0.36,0.4906458
67508000,0.0,0.4907478
68008000,0.18,0.49079615
68508000,0.22,0.49080795
69008000,0.18,0.49082237
69508000,0.1,0.4907787
70008000,0.34,0.4907039
70508000,0.1,0.49073696
71008000,0.04,0.49080217
71508000,0.2,0.4908137
72008000,0.16,0.4909364
72508000,0.58,0.4908456
73012000,0.019607844,0.49080518
73508000,0.36734694,0.4909923
74008000,0.24,0.49101976
74508000,0.34,0.49100795
75008000,0.08,0.49112427
75508000,0.26,0.49100447
76008000,0.14,0.49109697
76508000,0.08,0.49115494
77008000,0.0,0.49150625
77508000,0.12,0.4912942
78008000,0.1,0.49123755
