timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
5036000,0.0,0.0,0.0,1
5088000,0.0,0.0,0.0,1
6036000,0.0,0.0,0.0,1
6988000,0.0,0.0,0.0,1
7988000,0.0,0.0,0.0,1
8988000,0.0,0.0,0.0,1
10036000,0.0,0.0,0.0,1
11000000,0.0,0.0,0.0,1
12044000,0.0,0.0,0.0,1
13036000,0.0,0.0,0.0,1
13992000,0.0,0.0,0.0,1
14988000,0.0,0.0,0.0,1
15988000,0.0,0.0,0.0,1
17036000,0.0,0.0,0.0,1
18036000,0.0,0.0,0.0,1
18992000,0.0,0.0,0.0,1
20036000,0.0,0.0,0.0,1
20992000,0.0,0.0,0.0,1
21992000,0.0,0.0,0.0,1
22992000,0.0,0.0,0.0,1
23992000,0.0,0.0,0.0,1
25036000,0.0,0.0,0.0,1
25988000,0.0,0.0,0.0,1
26992000,0.0,0.0,0.0,1
27936000,0.0,0.0,0.0,1
28992000,0.0,0.0,0.0,1
30036000,0.0,0.0,0.0,1
31036000,0.0,0.0,0.0,1
31996000,0.0,0.0,0.0,1
33036000,0.0,0.0,0.0,1
33988000,0.0,0.0,0.0,1
34988000,0.0,0.0,0.0,1
36036000,0.0,0.0,0.0,1
36988000,0.0,0.0,0.0,1
37988000,0.0,0.0,0.0,1
38992000,0.0,0.0,0.0,1
39888000,0.0,0.0,0.0,1
75144000,0.0,0.0,0.0,1
75192000,0.0,0.0,0.0,1
76136000,0.0,0.0,0.0,1
77136000,0.0,0.0,0.0,1
