timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
35118268,35118227,6946826,0.01616086,-0.012569559,-9.788095,49.125,0,0,0,0,2
35119510,35119470,6946826,-0.025139118,-0.04309563,-9.721656,49.125,0,0,0,0,2
35218779,35218736,6946826,0.04129998,-0.050278235,-9.784504,49.125,0,0,0,0,2
35319290,35319249,6946826,0.077213004,-0.046686932,-9.770139,49.125,0,0,0,0,2
35418625,35418583,6946826,-0.021547815,0.46327803,-9.671378,49.125,0,0,0,0,2
35519146,35519103,6946826,0.023343466,-0.48123455,-10.260351,49.125,0,0,0,0,2
35618360,35618317,6946826,-0.16519992,-0.20829555,-9.940725,49.125,0,0,0,0,2
35718878,35718836,6946826,-0.034117375,0.01616086,-9.725247,49.125,0,0,0,0,2
35819387,35819346,6946826,-0.11312603,-0.80804306,-9.279925,49.125,0,0,0,0,2
35918653,35918612,6946826,0.04129998,0.7667431,-10.210073,49.125,0,0,0,0,2
36019166,36019126,6946826,-0.107739076,1.7741034,-10.048465,49.125,0,0,0,0,2
36118438,36118398,6946826,0.40581718,-0.90141696,-9.3661175,49.25,0,0,0,0,2
36218945,36218906,6946826,0.6733692,-0.777517,-9.895834,49.25,0,0,0,0,2
36319462,36319421,6946826,0.04309563,0.66618663,-10.120291,49.25,0,0,0,0,2
36418728,36418687,6946826,-0.57640404,0.28191724,-8.831013,49.25,0,0,0,0,2
36517999,36517955,6946826,0.98222125,-0.96426475,-10.204686,49.25,0,0,0,0,2
36618503,36618461,6946826,-0.0017956513,0.5315128,-10.38066,49.25,0,0,0,0,2
36719007,36718964,6946826,-0.8511387,1.2138603,-9.585187,49.25,0,0,0,0,2
36818334,36818295,6946826,0.587178,-1.1366472,-9.299678,49.25,0,0,0,0,2
36918794,36918752,6946826,0.41120413,-0.7110779,-9.881469,49.25,0,0,0,0,2
37019311,37019269,6946826,0.272939,0.6266823,-10.348338,49.25,0,0,0,0,2
37118522,37118483,6946826,-0.56922144,-0.3357868,-8.917204,49.125,0,0,0,0,2
37219025,37218985,6946826,0.1400608,-0.61770403,-9.346365,49.125,0,0,0,0,2
37318288,37318248,6946826,0.46148238,0.15801731,-9.795278,49.125,0,0,0,0,2
37418792,37418752,6946826,-0.2100912,0.09876082,-9.779117,49.125,0,0,0,0,2
37519296,37519256,6946826,-0.8098387,0.3465607,-9.67856,49.125,0,0,0,0,2
37618564,37618523,6946826,0.030526072,-1.1599907,-9.764751,49.125,0,0,0,0,2
37717825,37717781,6946826,0.25139117,-0.03232172,-9.782708,49.125,0,0,0,0,2
37818322,37818281,6946826,-1.1043255,0.39324763,-9.917382,49.125,0,0,0,0,2
37918830,37918790,6946826,-0.6392518,0.048482586,-9.087791,49.125,0,0,0,0,2
38018093,38018052,6946826,1.2425907,-0.89423436,-10.299856,49.125,0,0,0,0,2
38118590,38118548,6946826,-0.12030864,-0.12749124,-10.262147,49.125,0,0,0,0,2
38219086,38219045,6946826,-0.45968673,1.1330559,-10.010756,49.125,0,0,0,0,2
38318343,38318303,6946826,0.8439561,-0.3752911,-10.328587,49.125,0,0,0,0,2
38418853,38418811,6946826,0.55126494,-1.122282,-9.628283,49.125,0,0,0,0,2
38519352,38519310,6946826,0.39504328,0.7505822,-10.231621,49.125,0,0,0,0,2
38618604,38618563,6946826,-0.40222588,0.7290344,-9.337387,49.125,0,0,0,0,2
38719102,38719062,6946826,-0.2693477,-1.0486604,-9.270947,49.125,0,0,0,0,2
38818360,38818321,6946826,0.59256494,0.8206126,-10.114903,49.125,0,0,0,0,2
38918862,38918818,6946826,0.2873042,0.22625206,-9.81503,49.125,0,0,0,0,2
39019359,39019319,6946826,-0.62129533,0.44711718,-9.583391,49.125,0,0,0,0,2
39118623,39118578,6946826,0.18315643,0.7020996,-9.551069,49.125,0,0,0,0,2
39219117,39219076,6946826,0.2801216,-1.3395559,-9.581595,49.125,0,0,0,0,2
39318376,39318336,6946826,-0.7038953,0.86370826,-9.741408,49.125,0,0,0,0,2
39418881,39418840,6946826,-0.37708676,1.1851299,-9.825804,49.125,0,0,0,0,2
39519383,39519343,6946826,-0.5189432,-0.8295909,-8.847174,49.125,0,0,0,0,2
39618644,39618605,6946826,-0.19033903,0.10055647,-10.373477,49.125,0,0,0,0,2
39717908,39717868,6946826,-0.7308301,1.0001777,-9.227852,49.125,0,0,0,0,2
39818410,39818370,6946826,-0.5979519,-1.1546037,-9.120112,49.125,0,0,0,0,2
39918913,39918873,6946826,0.30526072,-0.5674258,-9.743204,49.125,0,0,0,0,2
40019415,40019373,6946826,0.061052144,-1.3718776,-10.012551,49.125,0,0,0,0,2
40118725,40118682,6946826,-1.0522517,-1.9033904,-9.138069,49.125,0,0,0,0,2
40219188,40219148,6946826,1.246182,-0.94810385,-10.2657385,49.125,0,0,0,0,2
40318425,40318385,6946826,-0.664391,0.5009867,-9.335591,49.125,0,0,0,0,2
40418924,40418885,6946826,1.4526819,-1.5334862,-10.175956,49.125,0,0,0,0,2
40519424,40519384,6946826,0.11851298,-0.22984336,-10.617686,49.125,0,0,0,0,2
40618685,40618642,6946826,-0.35194764,-0.56203884,-9.960478,49.125,0,0,0,0,2
40719177,40719138,6946826,0.31244332,0.15263036,-10.601525,49.125,0,0,0,0,2
40818432,40818392,6946826,0.17776948,-0.45789108,-14.279019,49.125,0,0,0,0,2
40918924,40918884,6946826,1.1797429,-0.5351041,-12.02009,49.125,0,0,0,0,2
41217911,41217871,6946826,0.5907693,2.1709423,-9.911995,49.0,0,0,0,0,2
41318398,41318358,6946826,-3.5446155,3.6218286,-6.6187706,49.0,0,0,0,0,2
41418888,41418847,6946826,1.2515689,-3.5051112,-8.317456,49.0,0,0,0,0,2
41518141,41518101,6946826,-2.4528596,-0.6356605,-10.0987425,49.0,0,0,0,0,2
41618638,41618598,6946826,-4.7081976,-2.7976246,-5.7640405,49.0,0,0,0,0,2
41719130,41719091,6946826,2.8030117,6.0477533,-3.4099417,49.0,0,0,0,0,2
41818381,41818340,6946826,-3.3901896,-0.973243,-13.090298,49.0,0,0,0,0,2
41918922,41918882,6946826,-1.9500773,-3.867833,-9.283517,49.0,0,0,0,0,2
42019394,42019352,6946826,-2.147599,6.0064535,-8.163031,49.0,0,0,0,0,2
42118596,42118554,6946826,4.0025067,1.6753427,-10.303447,48.75,0,0,0,0,2
42219085,42219043,6946826,-0.9068039,-0.81881696,-8.319252,48.75,0,0,0,0,2
42318338,42318298,6946826,2.734777,7.03177,-8.902839,48.75,0,0,0,0,2
42417585,42417545,6946826,2.332551,-0.3537433,-10.831368,48.75,0,0,0,0,2
42519315,42519269,6946826,-1.3503298,-2.908955,-10.6877165,48.75,0,0,0,0,2
42618557,42618517,6946826,-4.3688197,-0.6374562,-7.8829093,48.75,0,0,0,0,2
42717797,42717756,6946826,1.0217255,-2.765303,-10.156203,48.75,0,0,0,0,2
42818285,42818242,6946826,0.5943606,-2.0129251,-8.672996,48.75,0,0,0,0,2
42918772,42918731,6946826,-0.86370826,0.9947908,-8.936956,48.75,0,0,0,0,2
43019256,43019216,6946826,-2.2050598,0.7254431,-8.364143,48.75,0,0,0,0,2
43118501,43118459,6946826,-0.24420857,8.398261,-8.024766,48.5,0,0,0,0,2
43218994,43218954,6946826,5.3259015,2.7096379,-12.095507,48.5,0,0,0,0,2
43319488,43319445,6946826,1.4508862,-2.621651,-10.824186,48.5,0,0,0,0,2
43418730,43418689,6946826,-2.6198552,-0.021547815,-10.960655,48.5,0,0,0,0,2
43519214,43519175,6946826,-3.383007,2.9825768,-11.055825,48.5,0,0,0,0,2
43618553,43618513,6946826,2.6611552,-0.21906945,-9.188348,48.5,0,0,0,0,2
43718961,43718920,6946826,0.19033903,-7.1969705,-11.014524,48.5,0,0,0,0,2
43819454,43819414,6946826,0.4938041,-5.905897,-11.563994,48.5,0,0,0,0,2
43918693,43918653,6946826,-1.9123687,2.1637597,-7.4968443,48.5,0,0,0,0,2
