timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
27435418,27435314,6684682,0.015978966,-0.00071017625,-0.029117227,nan,0,3
27436974,27436861,6684682,0.002840705,-0.0014203525,0.019529847,nan,0,3
28438456,28438359,6684682,0.0024856168,-0.0042610574,0.034443546,nan,0,3
29435500,29435400,6684682,0.018109495,-0.00568141,0.01704423,nan,0,3
30437050,30436948,6684682,-0.018819671,-0.00071017625,0.009942467,nan,0,3
31437101,31436995,6684682,0.019174758,0.012783173,0.042255487,nan,0,3
32435652,32435546,6684682,0.029827403,-0.04722672,-0.03550881,nan,0,3
33435742,33435636,6684682,-0.11753417,-0.20240024,-0.15126754,nan,0,3
34437236,34437134,6684682,0.27377295,0.19210267,-0.04935725,nan,0,3
35438773,35438668,6684682,0.15091245,0.056459013,0.061430246,nan,0,3
36435792,36435689,6684682,0.34443548,-0.08202536,-0.36076954,nan,0,3
37437388,37437287,6684682,-0.13706401,-0.016334053,-0.13102752,nan,0,3
38437322,38437217,6684682,0.2627652,0.0024856168,-0.20737146,nan,0,3
39435823,39435719,6684682,0.07314815,0.314253,-0.2183792,nan,0,3
40435822,40435720,6684682,0.5528722,0.30218,-0.12889698,nan,0,3
41437319,41437211,6684682,-0.15304299,-0.13670893,-0.5539375,nan,0,3
42438808,42438705,6684682,-0.034798637,-0.1583693,-0.16405071,nan,0,3
43435827,43435728,6684682,-0.20133497,-0.0419004,-0.2393294,nan,0,3
44437290,44437186,6684682,-0.029472314,-0.43569311,-0.6260204,nan,0,3
45437248,45437141,6684682,-0.24856168,-0.6384484,0.03408846,nan,0,3
46438760,46438661,6684682,0.3550881,0.048647072,-0.12889698,nan,0,3
47435678,47435580,6684682,0.40195975,0.5851852,0.13351314,nan,0,3
48437152,48437045,6684682,-0.22477078,0.13883945,0.2844256,nan,0,3
49438609,49438504,6684682,0.676798,0.370712,-0.3916622,nan,0,3
50435558,50435455,6684682,0.16653633,0.23471326,0.12286049,nan,0,3
51437016,51436908,6684682,0.22583605,0.07811939,-0.025921432,nan,0,3
52437035,52436930,6684682,-0.0838008,-0.112207845,0.25921434,nan,0,3
53438428,53438325,6684682,0.09196782,0.017754406,-0.035153724,nan,0,3
54436891,54436785,6684682,-0.09658397,-0.09090256,0.22015464,nan,0,3
