timestamp,speed_xy,speed_up,speed_down,want_takeoff
11956000,5.0,3.0,1.0,0
11980000,5.0,3.0,1.0,0
12940000,5.0,3.0,1.0,0
13960000,5.0,3.0,1.0,0
14944000,5.0,3.0,1.0,0
15940000,5.0,3.0,1.0,0
16956000,5.0,3.0,1.0,0
17952000,5.0,3.0,1.0,0
18952000,5.0,3.0,1.0,0
19956000,5.0,3.0,1.0,0
20956000,5.0,3.0,1.0,0
21960000,5.0,3.0,1.0,0
22944000,5.0,3.0,1.0,0
23948000,5.0,3.0,1.0,0
24952000,5.0,3.0,1.0,0
25944000,5.0,3.0,1.0,0
26948000,5.0,3.0,1.0,0
27948000,5.0,3.0,1.0,0
28944000,5.0,3.0,1.0,0
29944000,5.0,3.0,1.0,0
30944000,5.0,3.0,1.0,0
31944000,5.0,3.0,1.0,0
32928000,5.0,3.0,1.0,0
33956000,5.0,3.0,1.0,0
34948000,5.0,3.0,1.0,0
35956000,5.0,3.0,1.0,0
36956000,5.0,3.0,1.0,0
37956000,5.0,3.0,1.0,0
38940000,5.0,3.0,1.0,0
39320000,5.0,3.0,1.0,0
76512000,5.0,3.0,1.0,0
76520000,5.0,3.0,1.0,0
77496000,5.0,3.0,1.0,0
78500000,5.0,3.0,1.0,0
79500000,5.0,3.0,1.0,0
80508000,5.0,3.0,1.0,0
81492000,5.0,3.0,1.0,0
