timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
56512000,56512000,0.6092948,1.0074467e-05,-0.0241881,1.0026138,6.483766e-05,1.0,1
56616000,56616000,0.60925233,9.833122e-06,0.032792754,1.0025487,0.000119181226,1.0,1
56716000,56716000,0.60921735,9.602672e-06,0.017030217,1.0024861,3.2145446e-05,1.0,1
56816000,56816000,0.60911655,9.383665e-06,-0.04452619,1.0024236,0.00021975425,1.0,1
56916000,56916000,0.6091111,9.175126e-06,0.01299888,1.0023731,1.8730094e-05,1.0,1
57016000,57016000,0.6091545,8.9765e-06,-0.009981363,1.0023293,1.104401e-05,1.0,1
57116000,57116000,0.60912704,8.785647e-06,0.041958224,1.0022815,0.00019516502,1.0,1
57216000,57216000,0.6091468,8.602964e-06,0.012666231,1.0022379,1.778613e-05,1.0,1
57316000,57316000,0.6091232,8.428155e-06,0.042283315,1.002194,0.00019821827,1.0,1
57416000,57416000,0.60912097,8.260735e-06,0.012835218,1.0021503,1.826548e-05,1.0,1
57516000,57516000,0.60910416,8.100441e-06,0.02888764,1.0021075,9.252675e-05,1.0,1
57616000,57616000,0.60906005,7.964973e-06,0.0557188,1.0020685,0.00034424177,1.0,1
57712000,57712000,0.6090653,7.816034e-06,0.039131824,1.0020305,0.00016979963,1.0,1
57812000,57812000,0.6090537,7.658433e-06,-0.012062988,1.001989,1.6136313e-05,1.0,1
57916000,57916000,0.60906094,7.5235944e-06,-0.051927973,1.0019554,0.000299028,1.0,1
58004000,58004000,0.60909665,7.4049526e-06,0.064857006,1.001928,0.00046648184,1.0,1
58112000,58112000,0.6090497,7.2817184e-06,0.037471507,1.0018902,0.00015571831,1.0,1
58212000,58212000,0.60902506,7.1601903e-06,0.030081285,1.001856,0.00010035638,1.0,1
58312000,58312000,0.6090423,7.0430838e-06,0.0045123394,1.0018295,2.258225e-06,1.0,1
58420000,58420000,0.6090404,6.963279e-06,0.02279418,1.0018061,5.7626432e-05,1.0,1
58512000,58512000,0.60906786,6.8378013e-06,-0.051489234,1.0017753,0.0002940492,1.0,1
58620000,58620000,0.6090617,6.721257e-06,0.009511611,1.001746,1.0034784e-05,1.0,1
58716000,58716000,0.60908544,6.6198663e-06,0.04874372,1.0017226,0.0002635405,1.0,1
58812000,58812000,0.6090403,6.5333675e-06,0.044474,1.0016941,0.00021939907,1.0,1
58913000,58913000,0.6089713,6.4518417e-06,0.010438953,1.0016648,1.2087847e-05,1.0,1
59017000,59017000,0.60906017,6.3373145e-06,-0.12330927,1.0016431,0.0016866926,1.0,1
59120000,59120000,0.6090697,6.237449e-06,0.026119774,1.0016212,7.568204e-05,1.0,1
59208000,59208000,0.609031,6.159406e-06,0.042346563,1.001597,0.00019893023,1.0,1
59320000,59320000,0.6090267,6.081527e-06,-0.013845576,1.0015763,2.1266475e-05,1.0,1
59408000,59408000,0.6090238,6.019685e-06,0.05641504,1.0015609,0.0003530774,1.0,1
59512000,59512000,0.6090402,5.9311283e-06,0.055566132,1.0015409,0.0003425383,1.0,1
59612000,59612000,0.6090483,5.854832e-06,-0.014455921,1.001522,2.318401e-05,1.0,1
59708000,59708000,0.6090709,5.7795924e-06,0.014324686,1.0015044,2.2765375e-05,1.0,1
59820000,59820000,0.609055,5.723387e-06,0.07162648,1.0014871,0.0005691927,1.0,1
59916000,59916000,0.6090337,5.633125e-06,-0.04250809,1.0014597,0.00020047823,1.0,1
60020000,60020000,0.6090565,5.5667924e-06,-0.055858847,1.0014459,0.00034618954,1.0,1
60116000,60116000,0.60909,5.5087535e-06,-0.03220582,1.0014347,0.000115081,1.0,1
60216000,60216000,0.60909015,5.4357383e-06,0.06443885,1.0014144,0.0004607223,1.0,1
60312000,60312000,0.60904914,5.3815907e-06,0.028508736,1.0013937,9.017966e-05,1.0,1
60420000,60420000,0.60905975,5.3145504e-06,-0.06969793,1.0013773,0.00053901336,1.0,1
60512000,60512000,0.60907906,5.2620007e-06,-0.030229796,1.0013651,0.000101399426,1.0,1
60620000,60620000,0.6090481,5.1983675e-06,0.2281279,1.0013478,0.005774699,1.0,1
60720000,60720000,0.6090531,5.142663e-06,0.045960326,1.0013319,0.00023439353,1.0,1
60812000,60812000,0.6090664,5.1126412e-06,-0.025260676,1.0013243,7.080642e-05,1.0,1
60920000,60920000,0.6090571,5.054234e-06,0.031519398,1.0013089,0.00011024153,1.0,1
61012000,61012000,0.60908985,5.0078916e-06,0.031717446,1.0013006,0.00011163219,1.0,1
61112000,61112000,0.6090927,4.956978e-06,0.012672997,1.0012869,1.782205e-05,1.0,1
61216000,61216000,0.6090734,4.902602e-06,0.004991472,1.0012708,2.7647968e-06,1.0,1
61316000,61316000,0.6090555,4.854497e-06,0.027621768,1.0012567,8.466716e-05,1.0,1
61416000,61416000,0.60908663,4.8075462e-06,-0.10263826,1.001247,0.0011690545,1.0,1
61508000,61508000,0.60910785,4.766584e-06,0.1090142,1.0012406,0.0013188189,1.0,1
61608000,61608000,0.6090907,4.7496897e-06,0.027362628,1.0012325,8.308797e-05,1.0,1
61716000,61716000,0.6090708,4.686683e-06,-0.022980202,1.0012116,5.8605627e-05,1.0,1
61820000,61820000,0.60908604,4.646187e-06,-0.058169097,1.0012026,0.00037550885,1.0,1
61912000,61912000,0.60906094,4.6023047e-06,-0.07005464,1.0011908,0.00054464623,1.0,1
62020000,62020000,0.6090776,4.5568954e-06,0.014831394,1.0011806,2.4412317e-05,1.0,1
62116000,62116000,0.60908955,4.52293e-06,0.010669104,1.001174,1.2632922e-05,1.0,1
62212000,62212000,0.6090855,4.483196e-06,0.09570046,1.0011648,0.0010164359,1.0,1
62320000,62320000,0.60909057,4.4415856e-06,-0.027664056,1.0011525,8.493545e-05,1.0,1
62420000,62420000,0.60904795,4.4323133e-06,0.1345532,1.001147,0.0020093133,1.0,1
62516000,62516000,0.6090643,4.39482e-06,0.027988665,1.0011375,8.69417e-05,1.0,1
62620000,62620000,0.6090003,4.3484774e-06,0.16177474,1.0011206,0.0029046414,1.0,1
62716000,62716000,0.6090699,4.312555e-06,-0.029919509,1.0011182,9.935303e-05,1.0,1
62808000,62808000,0.60907644,4.282106e-06,0.08103933,1.0011126,0.00072889717,1.0,1
62912000,62912000,0.6090805,4.2497277e-06,0.050137404,1.0011052,0.00027899825,1.0,1
63016000,63016000,0.60905915,4.2177703e-06,-0.025734436,1.0010924,7.350428e-05,1.0,1
63108000,63108000,0.60905766,4.2029033e-06,-0.069506556,1.0010879,0.00053621235,1.0,1
