timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
49601672,49585645,1,1,0,0,0,3,3,0,3,0,0,0,0,0
50609879,50593647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
51617668,51601643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
52622062,52605646,1,1,0,0,0,3,3,0,3,0,0,0,0,0
53629670,53613643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
54637670,54621644,1,1,0,0,0,3,3,0,3,0,0,0,0,0
55641668,55629643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
56649669,56637644,1,1,0,0,0,3,3,0,3,0,0,0,0,0
57657673,57645645,1,1,0,0,0,3,3,0,3,0,0,0,0,0
58661674,58649643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
59669690,59657646,1,1,0,0,0,3,3,0,3,0,0,0,0,0
60678242,60665644,1,1,0,0,0,3,3,0,3,0,0,0,0,0
61681669,61669644,1,1,0,0,0,3,3,0,3,0,0,0,0,0
62689669,62677649,1,1,0,0,0,3,3,0,3,0,0,0,0,0
63697670,63685903,1,1,0,0,0,3,3,0,3,0,0,0,0,0
64705668,64693644,1,1,0,0,0,3,3,0,3,0,0,0,0,0
65709668,65697746,1,1,0,0,0,3,3,0,3,0,0,0,0,0
66717670,66705643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
67725668,67713643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
68733672,68721644,1,1,0,0,0,3,3,0,3,0,0,0,0,0
69741670,69729643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
70749672,70737643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
71757753,71745669,1,1,0,0,0,3,3,0,3,0,0,0,0,0
72765669,72753643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
73773669,73761643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
74781670,74769858,1,1,0,0,0,3,3,0,3,0,0,0,0,0
75789669,75777643,1,1,0,0,0,3,3,0,3,0,0,0,0,0
76797670,76785669,1,1,0,0,0,3,3,0,3,0,0,0,0,0
