timestamp,timestamp_sample,vel_body[0],vel_body[1],vel_ne[0],vel_ne[1],flow_uncompensated_integral[0],flow_uncompensated_integral[1],flow_compensated_integral[0],flow_compensated_integral[1],gyro_rate_integral[0],gyro_rate_integral[1],gyro_rate_integral[2]
49998395,49997573,0.0,0.0,0.0,0.0,-0.0,0.00213,7.93152e-05,0.0021149735,-7.93152e-05,1.5026437e-05,-9.304416e-05
50017868,50017546,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,3.7960148e-05,-1.793429e-05,-0.0001821485
50199564,50197311,0.0,0.0,0.0,0.0,0.00213,-0.0,0.0,0.0,-5.242209e-06,3.653261e-06,-4.571025e-05
50399285,50397055,0.0,0.0,0.0,0.0,-0.0,-0.00213,8.540457e-06,-0.002139086,-8.540457e-06,9.085907e-06,-0.00021737786
50603676,50596796,0.0,0.0,0.0,0.0,-0.0,-0.0,-9.275361e-05,-5.2093677e-05,9.275361e-05,5.2093677e-05,-0.00012218146
50803539,50796545,0.0,0.0,0.0,0.0,-0.0,-0.0,8.8117624e-05,-4.0189843e-05,-8.8117624e-05,4.0189843e-05,-6.337982e-05
50997157,50996286,0.0,0.0,0.0,0.0,-0.00426,-0.0,-0.0040924726,3.2399937e-05,-0.0001675274,-3.2399937e-05,-0.00011484751
51199692,51196020,0.0,0.0,0.0,0.0,-0.00213,-0.00213,-0.0022661758,-0.0021251745,0.00013617579,-4.8253237e-06,-2.7112552e-05
51396530,51395776,0.0,0.0,0.0,0.0,-0.0,0.00213,0.000104678074,0.0020147392,-0.000104678074,0.00011526064,-6.437598e-05
51597803,51595499,0.0,0.0,0.0,0.0,-0.0,0.00213,0.00018524588,0.0020829844,-0.00018524588,4.701558e-05,-8.9445944e-05
51797481,51795244,0.0,0.0,0.0,0.0,-0.0,-0.0,0.000108070875,-7.74951e-05,-0.000108070875,7.74951e-05,-8.51232e-05
51995560,51995114,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.966953e-05,-3.234711e-05,4.966953e-05,3.234711e-05,-8.0297876e-05
52216253,52214707,0.0,0.0,0.0,0.0,-0.0,-0.00213,0.0,0.0,7.5338896e-05,-4.4894223e-05,-6.458739e-05
52397934,52394600,0.0,0.0,0.0,0.0,-0.0,-0.00213,-0.00017471734,-0.00217105,0.00017471734,4.1050087e-05,-9.225187e-05
52615874,52614184,0.0,0.0,0.0,0.0,-0.0,0.00213,-4.7717014e-05,0.002115536,4.7717014e-05,1.4463818e-05,3.9306324e-06
52801875,52794065,0.0,0.0,0.0,0.0,-0.00213,-0.0,-0.001989807,-3.1513075e-05,-0.00014019303,3.1513075e-05,3.913554e-06
52997273,52993677,0.0,0.0,0.0,0.0,-0.00213,0.00213,-0.0022996191,0.0022277809,0.00016961925,-9.778087e-05,-0.00012458923
53194209,53193522,0.0,0.0,0.0,0.0,-0.0,0.00213,4.867581e-05,0.0021100803,-4.867581e-05,1.9919647e-05,-5.2859847e-05
53416064,53413093,0.0,0.0,0.0,0.0,-0.0,-0.0,0.00024938484,-5.830128e-05,-0.00024938484,5.830128e-05,-1.8034403e-05
53614269,53612936,0.0,0.0,0.0,0.0,-0.00213,-0.00213,-0.0021008267,-0.002167363,-2.9173203e-05,3.736299e-05,-0.00010965465
53793138,53792568,0.0,0.0,0.0,0.0,-0.0,-0.0,6.265645e-05,-4.94987e-05,-6.265645e-05,4.94987e-05,-7.242353e-05
54016706,54012597,0.0,0.0,0.0,0.0,-0.0,-0.0,0.00010976153,-5.0061317e-05,-0.00010976153,5.0061317e-05,1.8770077e-05
54214934,54212003,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.2624117e-05,7.415902e-05,4.2624117e-05,-7.415902e-05,-3.3950895e-05
54413406,54411743,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.648327e-05,4.6551926e-05,-5.7541783e-05
54593708,54591497,0.0,0.0,0.0,0.0,-0.00213,-0.0,0.0,0.0,4.4155233e-05,-5.0119495e-05,1.3465806e-06
54814098,54811287,0.0,0.0,0.0,0.0,0.00213,-0.00213,0.0020516838,-0.0020507914,7.8316065e-05,-7.9208614e-05,-3.3372242e-05
55012501,55011250,0.0,0.0,0.0,0.0,-0.0,0.00213,-0.0003959809,-0.0020201444,-5.321357e-05,-9.980951e-05,-3.163209e-06
55192683,55190691,0.0,0.0,0.0,0.0,-0.00213,0.00213,-0.00034208794,-0.0004114053,0.0004590718,2.0939264e-05,0.00010476821
55413248,55410390,0.0,0.0,0.0,0.0,-0.01704,-0.00852,-0.018447055,-0.007952866,0.0014070545,-0.0005671332,0.0066029197
55616279,55610086,0.0,0.0,0.0,0.0,-0.08946,0.02343,-0.02463629,-0.0064225704,-0.00034757573,0.001013836,0.003925966
55796354,55789831,0.0,0.0,0.0,0.0,-0.055379998,0.0127799995,-0.02463629,-0.0064225704,-0.0015341252,0.0003670262,0.0024130335
56012441,56009632,0.0,0.0,0.0,0.0,-0.014909999,-0.00213,-0.009205116,-0.003317868,-0.0057048835,0.0011878682,0.0031788955
56215482,56209223,0.0,0.0,0.0,0.0,0.0063899998,-0.02343,0.004412225,-0.011482829,0.000410565,-0.00032891912,-0.00025150544
56418067,56409051,0.0,0.0,0.0,0.0,0.0063899998,0.0063899998,0.0050852606,0.0053653643,0.0013047392,0.0010246357,0.0043141693
56611869,56608648,0.0,0.0,0.0,0.0,-0.00213,-0.00213,-0.0021252527,-0.0017483451,-4.747155e-06,-0.00038165489,0.00080375886
56814565,56808363,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0027738786,-0.00086670916,0.00067273516,-0.0002013508,-0.0032004863
57009803,57008214,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0022959597,0.0007980501,0.000947879,0.00012232429,-0.006052061
