timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
6036000,0.0,-0.0,-0.0016203877,0.0,0.99999964,0.0,-0.0,-0.0008101937,0.0,0.0,-0.0,0,0,0,0,0
6040000,0.0,-0.0,-0.0016288161,0.0,0.99999964,0.0,-0.0,-0.00081440795,0.0,0.0,-0.0,0,0,0,0,0
6072000,0.0,-0.0,-0.0016774988,0.0,0.99999964,0.0,-0.0,-0.0008387493,0.0,0.0,-0.0,0,0,0,0,0
6136000,0.0,-0.0,-0.0017438098,0.0,0.99999964,0.0,-0.0,-0.0008719048,0.0,0.0,-0.0,0,0,0,0,0
6188000,0.0,-0.0,-0.0018341455,0.0,0.9999996,0.0,-0.0,-0.00091707264,0.0,0.0,-0.0,0,0,0,0,0
6232000,0.0,-0.0,-0.0018705055,0.0,0.9999996,0.0,-0.0,-0.00093525264,0.0,0.0,-0.0,0,0,0,0,0
6284000,0.0,-0.0,-0.0018906376,0.0,0.9999996,0.0,-0.0,-0.00094531866,0.0,0.0,-0.0,0,0,0,0,0
6332000,0.0,-0.0,-0.0018341072,0.0,0.9999996,0.0,-0.0,-0.0009170535,0.0,0.0,-0.0,0,0,0,0,0
6388000,0.0,-0.0,-0.0017545698,0.0,0.99999964,0.0,-0.0,-0.0008772848,0.0,0.0,-0.0,0,0,0,0,0
6432000,0.0,-0.0,-0.0017062053,0.0,0.99999964,0.0,-0.0,-0.00085310254,0.0,0.0,-0.0,0,0,0,0,0
6488000,0.0,-0.0,-0.0016202406,0.0,0.99999964,0.0,-0.0,-0.0008101202,0.0,0.0,-0.0,0,0,0,0,0
6532000,0.0,-0.0,-0.001605829,0.0,0.9999997,0.0,-0.0,-0.00080291444,0.0,0.0,-0.0,0,0,0,0,0
6588000,0.0,-0.0,-0.0016074597,0.0,0.9999997,0.0,-0.0,-0.0008037298,0.0,0.0,-0.0,0,0,0,0,0
6632000,0.0,-0.0,-0.0015855017,0.0,0.9999997,0.0,-0.0,-0.0007927508,0.0,0.0,-0.0,0,0,0,0,0
6688000,0.0,-0.0,-0.0015641432,0.0,0.9999997,0.0,-0.0,-0.00078207155,0.0,0.0,-0.0,0,0,0,0,0
6732000,0.0,-0.0,-0.0015609147,0.0,0.9999997,0.0,-0.0,-0.0007804573,0.0,0.0,-0.0,0,0,0,0,0
6784000,0.0,-0.0,-0.0015686642,0.0,0.9999997,0.0,-0.0,-0.00078433205,0.0,0.0,-0.0,0,0,0,0,0
6836000,0.0,-0.0,-0.0015668339,0.0,0.9999997,0.0,-0.0,-0.0007834169,0.0,0.0,-0.0,0,0,0,0,0
6884000,0.0,-0.0,-0.0015794529,0.0,0.9999997,0.0,-0.0,-0.0007897264,0.0,0.0,-0.0,0,0,0,0,0
6936000,0.0,-0.0,-0.0015838722,0.0,0.9999997,0.0,-0.0,-0.00079193607,0.0,0.0,-0.0,0,0,0,0,0
6984000,0.0,-0.0,-0.0015685227,0.0,0.9999997,0.0,-0.0,-0.00078426127,0.0,0.0,-0.0,0,0,0,0,0
7036000,0.0,-0.0,-0.0015660037,0.0,0.9999997,0.0,-0.0,-0.0007830018,0.0,0.0,-0.0,0,0,0,0,0
7060000,0.0,-0.0,-0.0015625162,0.0,0.9999997,0.0,-0.0,-0.00078125804,0.0,0.0,-0.0,0,0,0,0,0
7136000,0.0,-0.0,-0.0015450022,0.0,0.9999997,0.0,-0.0,-0.00077250105,0.0,0.0,-0.0,0,0,0,0,0
7188000,0.0,-0.0,-0.001540506,0.0,0.9999997,0.0,-0.0,-0.00077025295,0.0,0.0,-0.0,0,0,0,0,0
7236000,0.0,-0.0,-0.0015012366,0.0,0.9999997,0.0,-0.0,-0.00075061823,0.0,0.0,-0.0,0,0,0,0,0
7288000,0.0,-0.0,-0.0014778094,0.0,0.9999997,0.0,-0.0,-0.00073890464,0.0,0.0,-0.0,0,0,0,0,0
7336000,0.0,-0.0,-0.0014492157,0.0,0.99999976,0.0,-0.0,-0.0007246078,0.0,0.0,-0.0,0,0,0,0,0
7384000,0.0,-0.0,-0.0014397289,0.0,0.99999976,0.0,-0.0,-0.0007198644,0.0,0.0,-0.0,0,0,0,0,0
7428000,0.0,-0.0,-0.0014223816,0.0,0.99999976,0.0,-0.0,-0.00071119075,0.0,0.0,-0.0,0,0,0,0,0
7488000,0.0,-0.0,-0.001415069,0.0,0.99999976,0.0,-0.0,-0.00070753443,0.0,0.0,-0.0,0,0,0,0,0
7532000,0.0,-0.0,-0.0014148623,0.0,0.99999976,0.0,-0.0,-0.0007074311,0.0,0.0,-0.0,0,0,0,0,0
7584000,0.0,-0.0,-0.001399455,0.0,0.99999976,0.0,-0.0,-0.00069972745,0.0,0.0,-0.0,0,0,0,0,0
7632000,0.0,-0.0,-0.0013834649,0.0,0.99999976,0.0,-0.0,-0.0006917324,0.0,0.0,-0.0,0,0,0,0,0
7688000,0.0,-0.0,-0.0013711683,0.0,0.99999976,0.0,-0.0,-0.0006855841,0.0,0.0,-0.0,0,0,0,0,0
7736000,0.0,-0.0,-0.0013542144,0.0,0.99999976,0.0,-0.0,-0.00067710713,0.0,0.0,-0.0,0,0,0,0,0
7788000,0.0,-0.0,-0.0013366527,0.0,0.99999976,0.0,-0.0,-0.0006683263,0.0,0.0,-0.0,0,0,0,0,0
7832000,0.0,-0.0,-0.0013271148,0.0,0.99999976,0.0,-0.0,-0.0006635573,0.0,0.0,-0.0,0,0,0,0,0
7888000,0.0,-0.0,-0.0013509573,0.0,0.99999976,0.0,-0.0,-0.0006754786,0.0,0.0,-0.0,0,0,0,0,0
7936000,0.0,-0.0,-0.0013708273,0.0,0.99999976,0.0,-0.0,-0.0006854136,0.0,0.0,-0.0,0,0,0,0,0
7988000,0.0,-0.0,-0.0013958121,0.0,0.99999976,0.0,-0.0,-0.000697906,0.0,0.0,-0.0,0,0,0,0,0
8036000,0.0,-0.0,-0.0014329972,0.0,0.99999976,0.0,-0.0,-0.0007164985,0.0,0.0,-0.0,0,0,0,0,0
8084000,0.0,-0.0,-0.001455679,0.0,0.99999976,0.0,-0.0,-0.0007278394,0.0,0.0,-0.0,0,0,0,0,0
8136000,0.0,-0.0,-0.0014847908,0.0,0.9999997,0.0,-0.0,-0.00074239535,0.0,0.0,-0.0,0,0,0,0,0
8184000,0.0,-0.0,-0.0015019281,0.0,0.9999997,0.0,-0.0,-0.000750964,0.0,0.0,-0.0,0,0,0,0,0
8236000,0.0,-0.0,-0.001515918,0.0,0.9999997,0.0,-0.0,-0.0007579589,0.0,0.0,-0.0,0,0,0,0,0
8288000,0.0,-0.0,-0.001538578,0.0,0.9999997,0.0,-0.0,-0.0007692889,0.0,0.0,-0.0,0,0,0,0,0
8332000,0.0,-0.0,-0.0015498785,0.0,0.9999997,0.0,-0.0,-0.0007749392,0.0,0.0,-0.0,0,0,0,0,0
8388000,0.0,-0.0,-0.0015495382,0.0,0.9999997,0.0,-0.0,-0.00077476905,0.0,0.0,-0.0,0,0,0,0,0
8432000,0.0,-0.0,-0.0015595406,0.0,0.9999997,0.0,-0.0,-0.00077977026,0.0,0.0,-0.0,0,0,0,0,0
8488000,0.0,-0.0,-0.0015165848,0.0,0.9999997,0.0,-0.0,-0.0007582923,0.0,0.0,-0.0,0,0,0,0,0
8532000,0.0,-0.0,-0.0015223837,0.0,0.9999997,0.0,-0.0,-0.00076119177,0.0,0.0,-0.0,0,0,0,0,0
8584000,0.0,-0.0,-0.0014805797,0.0,0.9999997,0.0,-0.0,-0.0007402898,0.0,0.0,-0.0,0,0,0,0,0
8632000,0.0,-0.0,-0.0014376699,0.0,0.99999976,0.0,-0.0,-0.00071883487,0.0,0.0,-0.0,0,0,0,0,0
8684000,0.0,-0.0,-0.0013897532,0.0,0.99999976,0.0,-0.0,-0.00069487654,0.0,0.0,-0.0,0,0,0,0,0
8736000,0.0,-0.0,-0.0013821889,0.0,0.99999976,0.0,-0.0,-0.0006910944,0.0,0.0,-0.0,0,0,0,0,0
8784000,0.0,-0.0,-0.001411252,0.0,0.99999976,0.0,-0.0,-0.0007056259,0.0,0.0,-0.0,0,0,0,0,0
8836000,0.0,-0.0,-0.0014271167,0.0,0.99999976,0.0,-0.0,-0.0007135583,0.0,0.0,-0.0,0,0,0,0,0
8888000,0.0,-0.0,-0.0014602331,0.0,0.99999976,0.0,-0.0,-0.0007301165,0.0,0.0,-0.0,0,0,0,0,0
8936000,0.0,-0.0,-0.0014696146,0.0,0.9999997,0.0,-0.0,-0.0007348072,0.0,0.0,-0.0,0,0,0,0,0
8984000,0.0,-0.0,-0.0014815383,0.0,0.9999997,0.0,-0.0,-0.0007407691,0.0,0.0,-0.0,0,0,0,0,0
9036000,0.0,-0.0,-0.0015191563,0.0,0.9999997,0.0,-0.0,-0.0007595781,0.0,0.0,-0.0,0,0,0,0,0
9088000,0.0,-0.0,-0.0015357372,0.0,0.9999997,0.0,-0.0,-0.00076786854,0.0,0.0,-0.0,0,0,0,0,0
9132000,0.0,-0.0,-0.001569789,0.0,0.9999997,0.0,-0.0,-0.00078489445,0.0,0.0,-0.0,0,0,0,0,0
9184000,0.0,-0.0,-0.0016027467,0.0,0.9999997,0.0,-0.0,-0.0008013733,0.0,0.0,-0.0,0,0,0,0,0
9228000,0.0,-0.0,-0.0016259133,0.0,0.99999964,0.0,-0.0,-0.00081295654,0.0,0.0,-0.0,0,0,0,0,0
9284000,0.0,-0.0,-0.0016345006,0.0,0.99999964,0.0,-0.0,-0.00081725017,0.0,0.0,-0.0,0,0,0,0,0
9332000,0.0,-0.0,-0.0016548616,0.0,0.99999964,0.0,-0.0,-0.0008274307,0.0,0.0,-0.0,0,0,0,0,0
9388000,0.0,-0.0,-0.0016807552,0.0,0.99999964,0.0,-0.0,-0.00084037747,0.0,0.0,-0.0,0,0,0,0,0
9432000,0.0,-0.0,-0.0016647686,0.0,0.99999964,0.0,-0.0,-0.00083238416,0.0,0.0,-0.0,0,0,0,0,0
9484000,0.0,-0.0,-0.0016498697,0.0,0.99999964,0.0,-0.0,-0.00082493474,0.0,0.0,-0.0,0,0,0,0,0
9532000,0.0,-0.0,-0.0016407935,0.0,0.99999964,0.0,-0.0,-0.00082039664,0.0,0.0,-0.0,0,0,0,0,0
9588000,0.0,-0.0,-0.0016556771,0.0,0.99999964,0.0,-0.0,-0.00082783843,0.0,0.0,-0.0,0,0,0,0,0
9632000,0.0,-0.0,-0.0016614561,0.0,0.99999964,0.0,-0.0,-0.0008307279,0.0,0.0,-0.0,0,0,0,0,0
9688000,0.0,-0.0,-0.0016811071,0.0,0.99999964,0.0,-0.0,-0.00084055343,0.0,0.0,-0.0,0,0,0,0,0
9732000,0.0,-0.0,-0.0016771784,0.0,0.99999964,0.0,-0.0,-0.0008385891,0.0,0.0,-0.0,0,0,0,0,0
9784000,0.0,-0.0,-0.001692309,0.0,0.99999964,0.0,-0.0,-0.0008461544,0.0,0.0,-0.0,0,0,0,0,0
9836000,0.0,-0.0,-0.0017251743,0.0,0.99999964,0.0,-0.0,-0.000862587,0.0,0.0,-0.0,0,0,0,0,0
