timestamp,main_state_changes,main_state
44000,0,0
548000,0,0
1056000,0,0
1524000,0,0
2024000,0,0
2532000,0,0
3040000,0,0
3544000,0,0
4048000,0,0
4248000,0,0
4756000,0,0
5260000,0,0
5760000,0,0
6236000,0,0
6740000,0,0
7240000,0,0
7740000,0,0
8232000,0,0
8736000,0,0
9236000,0,0
9744000,0,0
10236000,0,0
10740000,0,0
11028000,1,4
11536000,1,4
12044000,1,4
12232000,1,4
12732000,1,4
13236000,1,4
13740000,1,4
14232000,1,4
14736000,1,4
15240000,1,4
15744000,1,4
16248000,1,4
16752000,1,4
17256000,1,4
17760000,1,4
18264000,1,4
18764000,1,4
19272000,1,4
19776000,1,4
20280000,1,4
20784000,1,4
21284000,1,4
21792000,1,4
22300000,1,4
22808000,1,4
23312000,1,4
23816000,1,4
24320000,1,4
24828000,1,4
25128000,1,4
25632000,1,4
25836000,1,4
25944000,2,7
26040000,2,7
26544000,2,7
27048000,2,7
27552000,2,7
28052000,2,7
28556000,2,7
29036000,2,7
29544000,2,7
30048000,2,7
30556000,2,7
31056000,2,7
31560000,2,7
32064000,2,7
32568000,2,7
33072000,2,7
33576000,2,7
34084000,2,7
34592000,2,7
35100000,2,7
35604000,2,7
36112000,2,7
36616000,2,7
37124000,2,7
37628000,2,7
38136000,2,7
38640000,2,7
39148000,2,7
39652000,2,7
40060000,2,7
40072000,2,7
40580000,2,7
41084000,2,7
41588000,2,7
42092000,2,7
42596000,2,7
43076000,2,7
43580000,2,7
44084000,2,7
44584000,2,7
45088000,2,7
45592000,2,7
46096000,2,7
46600000,2,7
47108000,2,7
47616000,2,7
48124000,2,7
48632000,2,7
49140000,2,7
49644000,2,7
50148000,2,7
50652000,2,7
51156000,2,7
51664000,2,7
52172000,2,7
52672000,2,7
53176000,2,7
53680000,2,7
54180000,2,7
54684000,2,7
55188000,2,7
55692000,2,7
56192000,2,7
56696000,2,7
57196000,2,7
57700000,2,7
58204000,2,7
58712000,2,7
59216000,2,7
59724000,2,7
60224000,2,7
60724000,2,7
61232000,2,7
61736000,2,7
62240000,2,7
62744000,2,7
63084000,2,7
63096000,3,11
63600000,3,11
64104000,3,11
64608000,3,11
65112000,3,11
65616000,3,11
66120000,3,11
66624000,3,11
67132000,3,11
67636000,3,11
68112000,3,11
68608000,3,11
