timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
96228021,-0.008219188,0.009563972,0.0022285662,4503,0,-0.36407712,0.298587,-9.758979,4987,0
96232524,-0.0051730233,-0.0016404171,-0.003540882,4503,0,-0.39422083,0.27651668,-9.7091055,4988,0
96238524,-0.005721839,0.0015903569,-0.0015901527,6000,0,-0.40012166,0.30203837,-9.717083,4986,0
96243026,-0.0015234808,0.002642679,-0.005671779,4502,0,-0.38717645,0.2889615,-9.725294,4986,0
96247528,-0.0025447048,0.0032343974,-0.007793424,4502,0,-0.37864444,0.33714947,-9.75608,4986,0
96253529,-0.0038236396,-0.005133134,0.00020114855,6001,0,-0.33366838,0.29755163,-9.774935,4987,0
96258031,-0.008534977,-0.0025511938,-0.002615771,4502,0,-0.31868172,0.2684357,-9.699091,4986,0
96262533,-0.005655401,0.004990079,-0.004003426,4502,0,-0.36955756,0.26861212,-9.74155,4987,0
96268535,-0.005916288,-0.0031217686,-0.00096256513,6002,0,-0.40755734,0.28415543,-9.72121,4986,0
96273038,-0.0012567049,-0.0047222236,-0.0027920003,4503,0,-0.3793303,0.29222763,-9.698137,4988,0
96277547,-0.0044913143,0.004107091,-0.006877156,4509,0,-0.3482559,0.3192622,-9.714681,4982,0
96283541,0.0011637497,0.0036685073,-0.001612227,5994,0,-0.3652944,0.2936523,-9.711924,4991,0
96288043,-0.005083909,-0.0012991739,0.00013845823,4502,0,-0.38361156,0.2806829,-9.737619,4984,0
96292544,-0.0053463317,-0.0027293419,-0.0026766625,4501,0,-0.37880003,0.2831345,-9.772761,5023,0
96298546,-0.008939309,-0.0068340013,-0.000112177986,6002,0,-0.34919366,0.3208712,-9.720024,4950,0
96303048,-0.0063546947,0.0022892186,-0.002308253,4502,0,-0.37220037,0.31547764,-9.683019,4985,0
96307550,0.00567931,-0.002960723,1.9035271e-05,4502,0,-0.3466876,0.2705249,-9.687216,5064,0
96313552,-0.004585937,-0.00052044255,-0.0038823576,6002,0,-0.41387996,0.2993947,-9.753829,4909,0
96318054,-0.0060284906,-0.0016707513,0.0042761643,4502,0,-0.40349242,0.295275,-9.743666,4986,0
96322587,-0.004880311,-0.0044758734,-0.0050643696,4533,0,-0.38058007,0.3008029,-9.746015,4989,0
96327057,0.0023784547,0.005018111,-0.0010507372,4470,0,-0.37526643,0.31361213,-9.72356,4983,0
96333060,-0.0018790542,0.0019003479,-0.0023464605,6003,0,-0.37588158,0.30926618,-9.719371,4988,0
96337563,-0.012844863,-0.002119097,-0.00047557993,4503,0,-0.37867406,0.2722355,-9.73153,4984,0
96342063,-0.005804648,0.00041331782,-0.0011709521,4500,0,-0.3855429,0.29486805,-9.719814,4987,0
96348065,-0.0009458641,0.002140146,-0.003415431,6002,0,-0.36216003,0.28873545,-9.713827,4988,0
96352566,-0.002559314,-0.0017056259,-0.0032595857,4501,0,-0.36780933,0.30390123,-9.778153,4986,0
96357070,-0.011328393,0.010392864,-0.0042039403,4504,0,-0.37470978,0.29666024,-9.738966,4984,0
96363070,0.00057242956,0.0008596979,0.003981975,6000,0,-0.34768182,0.28269538,-9.728415,4987,0
96367572,-0.012382736,0.00054628594,-0.00966112,4502,0,-0.3694088,0.27816358,-9.713786,4988,0
96372073,-0.005451176,-0.0036730848,-0.0043740543,4501,0,-0.39202982,0.32954666,-9.746474,4984,0
96378076,-2.2142045e-05,-0.00090175326,-0.0018230935,6003,0,-0.37980968,0.28030115,-9.722085,4987,0
96382577,-0.0041209036,-0.003886311,-0.0044286344,4501,0,-0.3866188,0.28809315,-9.700313,4986,0
96387080,-0.009879459,-0.0044471575,-0.001416362,4503,0,-0.36290586,0.29487115,-9.752758,4986,0
96393081,-0.005201024,0.0010702298,-0.007330509,6001,0,-0.36148024,0.29156548,-9.718212,4987,0
96397583,-0.00055898033,-0.006669826,-0.0039783334,4502,0,-0.35066485,0.28364006,-9.733709,4986,0
96402085,-0.0030057651,0.004235822,-0.0052606794,4502,0,-0.38152686,0.2852667,-9.720472,4987,0
96408087,-0.00066332554,0.003558043,0.0009778233,6002,0,-0.36321333,0.3020568,-9.764074,4987,0
96412589,-0.0033639546,-0.011504004,-0.0047034137,4502,0,-0.3690874,0.2776394,-9.74468,4987,0
96417091,-0.0038949577,-0.005498272,-0.0053935996,4502,0,-0.40594128,0.2745509,-9.746328,4985,0
96423092,-0.00731295,0.00030488343,-0.0055742506,6001,0,-0.35500935,0.2560648,-9.777395,4987,0
96427596,-0.003514017,-0.002815981,0.0048214486,4504,0,-0.39966798,0.2869174,-9.747028,4987,0
96432096,-0.007936021,-0.007986151,-0.004531837,4500,0,-0.38330206,0.304713,-9.75016,4988,0
96438098,-0.0033721293,-0.0009372818,-0.00034573957,6002,0,-0.35744283,0.25808695,-9.743201,4985,0
96442604,-0.0012394659,0.005246493,-0.008106724,4506,0,-0.3726544,0.29835013,-9.735101,4987,0
96447101,-0.010850453,0.00022499029,-0.0033103977,4497,0,-0.37502712,0.28277683,-9.745057,5000,0
96453104,-0.0013178638,-0.0036228702,-0.0022943667,6003,0,-0.41440627,0.2685016,-9.731822,4971,0
96457605,-0.009734117,-0.0033513624,-0.0029493794,4501,0,-0.37523854,0.2958695,-9.742149,4987,0
96462107,-0.005004943,0.006635667,0.005489442,4502,0,-0.3811407,0.25306207,-9.729479,5043,0
96468110,-0.0069461693,-0.0006639804,-0.0040650265,6003,0,-0.39055413,0.29767072,-9.706599,4929,0
96472614,-0.0030246715,-0.0018817364,0.00010139966,4504,0,-0.3911702,0.30983633,-9.730066,4986,0
96477113,-0.0014506116,-0.007054306,-0.0057370667,4499,0,-0.41180018,0.31193504,-9.723552,5091,0
96483117,-0.0007689316,-0.002093153,0.00021645904,6004,0,-0.374748,0.277914,-9.732078,4881,0
96487616,-0.003051741,-0.008821688,0.004364222,4499,0,-0.36692354,0.2884935,-9.747696,4986,0
96492123,-0.006825216,-0.000698697,-0.004507355,4507,0,-0.33887842,0.2794608,-9.723168,4986,0
96496666,-0.002561415,-0.002954825,-0.016097322,4543,0,-0.3741155,0.32671955,-9.69278,4987,0
96501122,-0.001075733,0.008197133,0.009507523,4456,0,-0.416498,0.19837517,-9.686701,4984,0
96505624,-0.009742213,-0.010319608,-0.002489444,4502,0,-0.42329222,0.25278154,-9.814875,4986,0
