timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
96141675,1,0,1,0,0,1,1,1,1,1,0,1,1,0
96240672,1,0,1,0,0,1,1,1,1,1,0,1,1,0
96746694,1,0,1,0,0,1,1,1,1,1,0,1,1,0
97252664,1,0,1,0,0,1,1,1,1,1,0,1,1,0
97759024,1,0,1,0,0,1,1,1,1,1,0,1,1,0
98264676,1,0,1,0,0,1,1,1,1,1,0,1,1,0
98770694,1,0,1,0,0,1,1,1,1,1,0,1,1,0
99243673,1,0,1,0,0,1,1,1,1,1,0,1,1,0
99254844,1,0,1,0,0,1,1,1,1,1,0,1,1,0
99760992,1,0,1,0,0,1,1,1,1,1,0,1,1,0
100255728,1,0,1,0,0,1,1,1,1,1,1,1,1,0
100761681,1,0,1,0,0,1,1,1,1,1,1,1,1,0
101267682,1,0,1,0,0,1,1,1,1,1,1,1,1,0
101773679,1,0,1,0,0,1,1,1,1,1,1,1,1,0
102279665,1,0,1,0,0,1,1,1,1,1,1,1,1,0
102785696,1,0,1,0,0,1,1,1,1,1,1,1,1,0
103291664,1,0,1,0,0,1,1,1,1,1,1,1,1,0
103797692,1,0,1,0,0,1,1,1,1,1,1,1,1,0
104303695,1,0,1,0,0,1,1,1,1,1,1,1,1,0
104809739,1,0,1,0,0,1,1,1,1,1,1,1,1,0
105315678,1,0,1,0,0,1,1,1,1,1,1,1,1,0
105821679,1,0,1,0,0,1,1,1,1,1,1,1,1,0
106327667,1,0,1,0,0,1,1,1,1,1,1,1,1,0
106833699,1,0,1,0,0,1,1,1,1,1,1,1,1,0
107339671,1,0,1,0,0,1,1,1,1,1,1,1,1,0
107845692,1,0,1,0,0,1,1,1,1,1,1,1,1,0
108351680,1,0,1,0,0,1,1,1,1,1,1,1,1,0
108857681,1,0,1,0,0,1,1,1,1,1,1,1,1,0
109363673,1,0,1,0,0,1,1,1,1,1,1,1,1,0
109869663,1,0,1,0,0,1,1,1,1,1,1,1,1,0
110265729,1,0,1,0,0,1,1,1,1,1,1,1,1,0
110771668,1,0,1,0,0,1,1,1,1,1,1,1,1,0
111277699,1,0,1,0,0,1,1,1,1,1,1,1,1,0
111784693,1,0,1,0,0,1,1,1,1,1,1,1,1,0
112290717,1,0,1,0,0,1,1,1,1,1,1,1,1,0
