timestamp,saturation_status
150708191,1533
150709658,1533
151708951,1533
152708260,1533
153709117,1533
154708361,1533
155709163,1469
156708456,1
157709239,1
158708507,1
159707785,1
160708601,1
161707815,1
162708574,1
163707824,1
164708567,1
165707807,1
166708531,1
167709249,1
168708468,1
169709176,1
170708418,1
171709061,1
172708239,1
173708963,1
174708086,1
175708746,1
176707901,1
177708552,1
178709196,1
179708330,1
180708968,1
181708099,1
182708729,1
183707883,1
184708455,1
185709064,1
186708220,1
187708784,1
188707874,1
189708517,1
190709057,1357
191708145,1533
192708782,1533
193707826,1533
