gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
0.07696863,0.1819947,0.13570115,-0.78417844,-0.02396014,-0.07064335
0.011515544,0.17634602,-0.118471175,1.5399182,-0.053087104,3.184316
-0.06192784,0.14932887,-0.35515025,0.5448744,-0.0060763154,2.3217561
-0.08329146,0.103512615,-0.40282375,-0.69074804,-1.6796771,0.2718546
-0.055185918,0.16307916,-0.43579254,-0.60471267,-1.646202,0.69260454
-0.42651382,-0.38876644,-0.30131736,0.20166267,0.73417425,1.1081413
-0.35936674,-0.45674592,0.018447494,0.4774623,0.7757767,-0.26977846
-0.2314192,-0.36827448,0.57595694,0.64453185,2.6319249,0.8214451
0.29582337,-0.0023928168,0.86775184,-0.031121792,0.7556048,1.4809164
0.60237575,0.25248596,0.68837893,0.20997266,-0.43107706,0.30120885
-0.09343352,-0.12792681,0.26005268,0.041867647,-1.2864925,-1.4586391
-0.14786704,-0.088204175,-0.085379615,-0.32763892,-0.75584906,-0.6244484
-0.6161082,-0.42251953,-0.17965277,-0.09741745,-0.16204548,1.5749387
-0.86892426,-0.6628919,-0.17223239,0.24991903,-0.045874044,1.1300454
-1.1224506,-0.9003078,-0.20977123,-0.2718866,1.9563419,-0.14515251
-0.7111037,-0.5596389,0.2626969,0.009928634,0.9889814,0.4162158
-0.70362335,-0.5100679,0.66663504,-1.1084715,0.17195523,-0.29127714
-0.3043234,-0.20801671,0.6080735,0.2831242,0.55220056,0.15163226
0.07427724,0.18319678,0.17362188,0.9699339,-0.053272143,-0.423167
0.26149765,0.44281662,-0.17865424,0.3548519,-0.1700372,0.07547866
-0.59990764,-0.33921307,-0.003434735,-0.09614037,-0.32726845,1.4827255
-1.107594,-0.68776536,0.2639095,1.270226,-1.5841774,3.7837956
-1.5014515,-0.9557952,0.45690915,-0.5246212,-1.2003386,1.6020344
-1.7330904,-1.2348043,0.49573436,0.49598587,-0.33086985,3.2010128
-1.8287284,-1.370795,0.27106863,0.62844115,1.5698369,1.8342822
-1.3316036,-0.9944029,0.54383934,-0.023216676,0.966584,-0.43032196
-1.2974244,-1.0443522,0.7439681,0.041204575,-0.9206847,0.13397509
-1.350948,-1.0986103,0.72603124,0.8355581,-0.14514862,2.5752163
-1.645866,-1.3828892,0.4620994,1.1507953,1.807241,3.250605
-1.8535501,-1.5775372,-0.0406235,-2.4024174,-1.7581831,-0.19455162
-1.2218319,-1.083284,0.013267961,-0.15930282,-1.0336299,0.8819433
-0.9286028,-0.7965302,0.04953098,1.6193081,0.9769853,1.6035446
-0.20853509,-0.2658644,0.07396662,-0.18077147,1.1526209,0.3002332
0.37044844,0.23684314,0.011087187,-0.7117542,-1.2117473,-1.3151432
0.55779415,0.5882616,-0.104269244,0.35749817,-0.11324927,-0.9866473
-0.5505417,-0.22621277,0.15228796,-0.5079169,0.84722346,-0.2884899
-0.456718,-0.22890833,0.14549518,-1.1559013,0.43801025,-1.3265977
-0.745774,-0.3550595,0.1464749,-0.061395578,-0.3342962,-0.4555858
-0.5857698,-0.29336143,-0.12365373,0.17665097,-0.81428593,-1.3198484
-0.02976424,0.15479976,-0.38899127,-0.51375383,0.08841403,-2.504128
0.31203717,0.44382122,-0.31238315,-0.5200053,-0.045729354,-1.578244
0.36338973,0.4371741,0.13685134,0.9865354,-0.306618,1.4449875
0.29799017,0.48122,0.3961493,-0.5957106,0.9211035,1.2710617
0.4278525,0.53440344,0.3036231,-0.10921239,-0.61622995,-0.74476194
0.7037089,0.8783062,-0.0569843,1.0983858,-0.54696506,2.7309043
0.42500708,0.4400222,0.018807719,-0.3091413,-1.0229467,1.0259576
0.6299978,0.5705137,-0.1568211,-1.5657821,-1.452677,-1.2864766
0.8621886,0.7793678,-0.4271154,-0.9941489,-0.80261254,-0.36389357
0.9907575,0.9264096,-0.5382318,-0.6501019,1.1942008,0.22422084
1.1747469,1.0858859,-0.45610586,-0.59064674,2.623537,-1.8649209
1.1484555,1.1084793,0.3017221,0.031991772,1.3013421,-1.7623609
