gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
-0.04894341,-0.038558356,-0.18528484,0.5117936,-0.76564777,-9.018859
-0.022577485,-0.00901347,-0.014382198,-0.626446,0.47073087,-10.572037
-0.019773625,-0.009439731,0.18963361,-0.4637114,0.852688,-9.787939
-0.0679652,-0.05206237,0.37717482,0.5899809,0.46155128,-8.352822
-0.14345594,-0.1279947,0.50415325,0.7372248,-0.1486689,-8.396307
-0.23750775,-0.21115164,0.4782041,-0.11171271,-0.48543844,-9.213756
-0.35458073,-0.27660736,0.22655551,-0.43779644,-0.8486711,-8.748357
-0.45236933,-0.33042744,-0.13567583,-0.034301836,-3.0296896,-9.080395
-0.52178794,-0.39179114,-0.46461168,0.046207722,-0.30632865,-9.460254
-0.49286667,-0.35541755,-0.40903485,-0.023323374,0.45594728,-9.707771
-0.37206522,-0.26615325,0.06949608,0.22133812,1.0376041,-9.244813
-0.2412789,-0.19337551,0.4695074,0.3489898,1.109315,-9.407731
-0.15596879,-0.15112442,0.568511,-0.041237455,0.23737039,-10.090589
-0.10275476,-0.1042388,0.49171543,-0.6431947,-1.4471629,-9.969016
-0.01212144,-0.03850145,0.2659267,-0.11021643,-3.3746507,-9.140272
-0.04896442,-0.056296587,0.030598935,0.40303487,-0.9500044,-8.660334
-0.00029040314,-0.031919166,-0.27346513,0.106221616,-0.5291222,-9.749306
-0.007979463,-0.040965777,-0.36230904,-0.06955303,-0.10657415,-9.598191
-0.042620294,-0.054940954,-0.18973663,-0.0791015,0.30732766,-9.158516
-0.029546624,-0.029499937,0.056092966,-0.1784078,0.43738133,-9.71053
0.066466175,0.041754987,0.1666274,-0.3339685,0.25247526,-10.888243
0.1844725,0.10091284,0.21326761,0.21014395,-0.09342608,-9.974714
0.23584904,0.1461512,0.2109697,0.37530553,0.47757286,-8.968443
0.33033687,0.23278694,0.08912426,-0.37653822,-0.9880483,-10.124155
0.33315095,0.25704035,0.00891052,-0.3845416,-1.6140685,-10.208911
0.33589002,0.25042436,-0.08038545,0.17100537,-0.6942395,-9.547287
0.3519632,0.25301182,-0.1718776,0.5510124,0.64560866,-9.250268
0.33539665,0.26904467,-0.19963166,0.10223939,0.49663982,-9.834093
0.30892447,0.26234192,-0.12916355,-1.1272686,-1.918505,-10.451874
0.16805004,0.21069242,0.2098416,0.7399311,0.7500497,-9.011179
0.16596824,0.18297051,0.25345457,0.047783673,0.09972037,-9.773876
0.12904564,0.1787276,0.11706492,-0.34482542,-1.5669942,-10.118692
0.08025253,0.20728567,-0.101710066,0.04601843,-0.8032577,-9.815113
