gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
-0.048305254,0.012703188,-0.010292877,0.023730943,0.25654453,-9.804898
-0.0492436,0.026673414,0.004712706,0.34463885,0.78853494,-9.869397
-0.06851728,0.02455607,0.021188863,0.2978447,-0.13993008,-9.628276
-0.075142,0.031331576,0.014143349,-0.19297707,-0.293226,-10.027652
-0.0830453,0.043163635,-0.0033515927,0.15287735,0.38738036,-9.8508005
-0.07317235,0.028123057,-0.010170265,0.38656744,0.3244502,-9.640331
-0.051084943,0.001417979,-0.01766787,0.16030978,-0.28758353,-9.409575
-0.025661744,-0.02178323,-0.014365295,-0.21967773,-0.09729107,-9.563895
0.011421779,-0.06560732,0.00043772146,0.41728055,1.114133,-9.458096
0.047593296,-0.11577422,0.010721969,0.4839334,0.43771055,-9.301244
0.056367975,-0.16000706,0.017385649,-0.039585818,-0.3346637,-9.273077
0.050162274,-0.19847824,-0.00030341974,0.05866449,-0.011254479,-9.372653
0.062447242,-0.23298351,-0.00605163,0.38379756,0.6300269,-9.502243
0.06361801,-0.25790128,-0.0069634826,0.17057587,0.28042755,-9.440925
0.043542072,-0.2795749,-0.018728312,-0.011199359,-0.40903482,-9.316628
0.024006106,-0.28982183,-0.009834263,0.100338615,0.056895386,-9.406877
0.013587387,-0.28815877,0.0075157536,0.19254906,0.69144183,-9.613324
-0.004950902,-0.27844462,0.008443347,0.18569092,0.2038465,-9.664506
-0.03369648,-0.2567437,-0.004080876,0.071694516,-0.30643865,-9.594148
-0.05344672,-0.22926879,-0.009829356,0.023454567,0.23299892,-9.72374
-0.059759818,-0.19542858,-0.00228947,0.14026311,0.57559955,-9.866468
-0.05977072,-0.16019969,-0.010106219,0.14582795,-0.16544212,-9.715994
-0.056895297,-0.13582999,-0.019097285,0.053773463,-0.29858702,-9.699312
-0.04477906,-0.10065454,-0.0041010636,0.07224012,0.59406894,-9.845123
-0.026745599,-0.06577935,-0.0032696018,0.18084943,0.47618052,-9.748888
-0.020541525,-0.049491126,-0.015069648,0.12272475,-0.36430204,-9.4486475
-0.009558093,-0.032793663,-0.006579659,-5.643487e-06,-0.066308714,-9.796087
0.00416938,-0.0023730928,-0.0037052429,0.15862699,0.7428545,-9.845603
0.0335377,0.014357241,-0.0016492755,0.20184687,0.22269742,-9.548892
0.029940227,0.03853853,-0.008367644,0.07620922,-0.9222464,-9.584092
0.019972231,0.06639396,-0.004623722,0.13598341,0.5806717,-9.72689
0.03304567,0.075141944,0.0047402503,0.19902454,1.1631966,-9.75175
0.03464728,0.08384033,0.0056921197,0.18560916,-0.43265182,-9.481399
0.015345896,0.07376533,0.00985766,0.06383692,-0.6711792,-9.669881
0.0025397467,0.06957252,-0.016295094,0.2508322,1.1920447,-9.69753
0.02197212,0.06564975,-0.020953262,0.19216241,0.38600472,-9.655001
