timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
28986807,28984680,6684682,1998.2238,1.9513904,nan,nan,nan,nan,nan,nan,nan,nan,56.756252,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,443.0,497.0,474.0
29640151,29639384,6684682,1998.2238,1.9513904,nan,nan,nan,nan,nan,nan,nan,nan,44.772648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,484.0,527.0,455.0
29770400,29767013,6684682,1998.2238,1.9513904,nan,nan,nan,nan,nan,nan,nan,nan,39.14811,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,441.0,453.0,534.0
29896672,29894645,6684682,1998.2238,1.9513904,nan,nan,nan,nan,81.96229,nan,nan,nan,41.01769,83.91208,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,17.0,17.0,nan,nan,495.0,475.0,504.0
30153431,30151354,6684682,1998.2238,1.9513904,nan,nan,nan,nan,82.1333,nan,nan,nan,82.1333,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,20.0,nan,nan,nan,486.0,489.0,494.0
30279799,30278982,6684682,1998.2238,1.9513904,81.98395,nan,nan,nan,83.81098,nan,nan,nan,83.734886,39.02781,nan,nan,20.0,nan,nan,nan,17.0,nan,nan,nan,25.0,10.0,nan,nan,461.0,446.0,501.0
30405758,30405155,6684682,1998.2238,1.9513904,83.702385,nan,nan,nan,83.81098,nan,nan,nan,83.734886,39.02781,nan,nan,16.0,nan,nan,nan,17.0,nan,nan,nan,25.0,10.0,nan,nan,465.0,446.0,501.0
30662502,30661869,6684682,1998.2238,1.9513904,nan,nan,nan,nan,83.78948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,472.0,492.0,493.0
30666845,30663369,6684682,1998.2238,1.9513904,nan,nan,nan,nan,83.78948,nan,nan,nan,50.736374,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,17.0,nan,nan,nan,472.0,492.0,499.0
30793015,30791000,6684682,1998.2238,1.9513904,nan,nan,nan,nan,82.10774,50.73615,nan,nan,50.736374,nan,nan,nan,nan,nan,nan,nan,40.0,16.0,nan,nan,17.0,nan,nan,nan,453.0,522.0,499.0
30919549,30918627,6684682,1998.2238,1.9513904,nan,nan,nan,nan,83.68477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,452.0,454.0,497.0
30923614,30920128,6684682,1998.2238,1.9513904,nan,nan,nan,nan,83.68477,nan,nan,nan,83.860695,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,17.0,nan,nan,nan,452.0,454.0,467.0
31049820,31047761,6684682,1998.2238,1.9513904,nan,nan,nan,nan,54.407322,nan,nan,nan,82.284386,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,20.0,nan,nan,nan,498.0,526.0,513.0
31180289,31176888,6684682,1998.2238,1.9513904,nan,nan,nan,nan,nan,nan,nan,nan,82.22239,68.292694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,10.0,nan,nan,488.0,476.0,494.0
31306729,31304517,6684682,1998.2238,1.9513904,nan,nan,nan,nan,nan,nan,nan,nan,83.7505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0,nan,nan,nan,455.0,463.0,535.0
