timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
63965120,63961857,6684682,1999.7336,1.9528649,35.15157,nan,nan,nan,nan,nan,nan,nan,35.15157,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,444.0,460.0,476.0
64796402,64796002,6684682,1999.7336,1.9528649,56.812855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,455.0,513.0,503.0
65440588,65439714,6684682,1999.7336,1.9528649,42.963028,60.53881,nan,nan,nan,nan,nan,nan,46.650856,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,480.0,471.0,477.0
65566351,65565702,6684682,1999.7336,1.9528649,nan,nan,nan,nan,58.585945,nan,nan,nan,46.650856,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,16.0,nan,nan,nan,475.0,465.0,477.0
65692487,65691733,6684682,1999.7336,1.9528649,84.124115,nan,nan,nan,58.585945,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,459.0,465.0,479.0
65822920,65822312,6684682,1999.7336,1.9528649,nan,nan,nan,nan,84.152664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,480.0,493.0,457.0
65948624,65948297,6684682,1999.7336,1.9528649,84.11363,nan,nan,nan,84.152664,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,475.0,493.0,468.0
66079188,66075830,6684682,1999.7336,1.9528649,85.68682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,498.0,478.0,480.0
66205337,66204911,6684682,1999.7336,1.9528649,60.53881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,461.0,497.0,483.0
66210082,66207863,6684682,1999.7336,1.9528649,60.53881,nan,nan,nan,nan,nan,nan,nan,44.915894,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,461.0,463.0,446.0
66461819,66459973,6684682,1999.7336,1.9528649,85.92688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,489.0,438.0,497.0
66592628,66590460,6684682,1999.7336,1.9528649,nan,nan,nan,nan,50.556587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,470.0,509.0,453.0
66848860,66845524,6684682,1999.7336,1.9528649,nan,nan,nan,nan,33.198704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,488.0,436.0,508.0
66974884,66973056,6684682,1999.7336,1.9528649,43.1428,nan,nan,nan,33.198704,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,457.0,436.0,501.0
67231772,67229620,6684682,1999.7336,1.9528649,nan,nan,nan,nan,84.227516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,464.0,488.0,500.0
67488684,67487737,6684682,1999.7336,1.9528649,nan,nan,nan,nan,nan,nan,nan,nan,85.86439,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,nan,515.0,493.0,502.0
67744793,67742794,6684682,1999.7336,1.9528649,nan,nan,nan,nan,52.997654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,440.0,440.0,476.0
