timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
508000,inf,0,1,1,1,0,0,1,1,0,1
1512000,inf,0,1,1,1,0,0,1,0,0,1
2516000,inf,0,1,1,1,0,0,1,0,0,1
3516000,inf,0,1,1,1,0,0,1,0,0,1
4520000,inf,0,1,1,1,0,0,1,0,0,1
5524000,inf,0,1,1,1,0,0,1,0,0,1
6524000,inf,0,1,1,1,0,0,1,0,0,1
7524000,inf,0,1,1,1,0,0,1,0,0,1
8528000,inf,0,1,1,1,0,0,1,0,0,1
9528000,inf,0,1,1,1,0,0,1,0,0,1
10532000,inf,0,1,1,1,0,0,1,0,0,1
11076000,inf,0,1,1,1,1,1,1,0,0,1
12084000,inf,0,1,1,1,1,1,1,0,0,1
13084000,inf,0,1,1,1,1,1,1,0,0,1
14084000,inf,0,1,1,1,1,1,1,0,0,1
15088000,inf,0,1,1,1,1,1,1,0,0,1
16088000,inf,0,1,1,1,1,1,1,0,0,1
17088000,inf,0,1,1,1,1,1,1,0,0,1
18088000,inf,0,1,1,1,1,1,1,0,0,1
19088000,inf,0,1,1,1,1,1,1,0,0,1
20092000,inf,0,1,1,1,1,1,1,0,0,1
21096000,inf,0,1,1,1,1,1,1,0,0,1
22104000,inf,0,1,1,1,1,1,1,0,0,1
23108000,inf,0,1,1,1,1,1,1,0,0,1
24108000,inf,0,1,1,1,1,1,1,0,0,1
25116000,inf,0,1,1,1,1,1,1,0,0,1
26120000,inf,0,1,1,1,1,1,1,0,0,1
27072000,inf,0,1,1,1,0,0,1,0,0,1
28076000,inf,0,1,1,1,0,0,1,0,0,1
29084000,inf,0,1,1,1,0,0,1,0,0,1
30084000,inf,0,1,1,1,0,0,1,0,0,1
31084000,inf,0,1,1,1,0,0,1,0,0,1
31184000,inf,0,1,1,1,1,0,1,0,0,1
31992000,inf,0,1,0,0,1,0,1,0,0,1
32000000,inf,0,0,0,0,1,0,1,0,0,1
33000000,inf,0,0,0,0,1,0,0,0,0,1
34008000,inf,0,0,0,0,1,0,0,0,0,1
35008000,inf,0,0,0,0,1,0,0,0,0,1
36008000,inf,0,0,0,0,1,0,0,0,0,1
37000000,inf,0,0,0,0,0,0,0,0,0,1
38004000,inf,0,0,0,0,0,0,0,0,0,1
39004000,inf,0,0,0,0,0,0,0,0,0,1
40004000,inf,0,0,0,0,0,0,0,0,0,1
41012000,inf,0,0,0,0,0,0,0,0,0,1
42020000,inf,0,0,0,0,0,0,0,0,0,1
43028000,inf,0,0,0,0,0,0,0,0,0,1
44028000,inf,0,0,0,0,0,0,0,0,0,1
45028000,inf,0,0,0,0,0,0,0,0,0,1
46028000,inf,0,0,0,0,0,0,0,0,0,1
47028000,inf,0,0,0,0,0,0,0,0,0,1
48032000,inf,0,0,0,0,0,0,0,0,0,1
49032000,inf,0,0,0,0,0,0,0,0,0,1
50032000,inf,0,0,0,0,0,0,0,0,0,1
51032000,inf,0,0,0,0,0,0,0,0,0,1
52032000,inf,0,0,0,0,0,0,0,0,0,1
53032000,inf,0,0,0,0,0,0,0,0,0,1
54032000,inf,0,0,0,0,0,0,0,0,0,1
54928000,inf,0,0,0,0,1,1,0,1,0,1
55932000,inf,0,0,0,0,1,1,0,1,0,1
56584000,inf,0,1,0,0,1,1,1,0,0,1
57504000,inf,0,1,1,0,1,1,1,0,0,1
57844000,inf,0,1,1,1,1,1,1,0,0,1
57876000,inf,0,1,0,0,1,1,1,0,0,1
58336000,inf,0,1,1,0,1,1,1,0,0,1
58676000,inf,0,1,1,1,1,1,1,0,0,1
59680000,inf,0,1,1,1,1,1,1,0,0,1
