timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
5000000,0.0,0.0,0.0,0
5052000,0.0065439213,0.0023998264,0.0,0
6000000,0.0063423626,0.009014802,4.8541275e-05,0
6952000,0.005539656,0.010171635,6.8100584e-05,1
7956000,0.008543542,0.016854033,0.00014240733,0
8956000,0.0062489463,0.003533597,9.774399e-05,1
9948000,0.0062489463,0.003533597,9.774399e-05,1
10956000,0.0062489463,0.003533597,9.774399e-05,1
11952000,0.0062489463,0.003533597,9.774399e-05,1
12952000,0.0062489463,0.003533597,9.774399e-05,1
13948000,0.00615144,0.009899902,0.0,0
15000000,0.013327215,0.014072632,7.109085e-05,1
16000000,0.013327215,0.014072632,7.109085e-05,1
17000000,0.0024635089,0.0009977203,8.859628e-05,1
17956000,0.0024635089,0.0009977203,8.859628e-05,1
18980000,0.014604474,0.0013542987,6.361262e-05,1
19956000,0.014604474,0.0013542987,6.361262e-05,1
21000000,0.005892946,0.001109994,0.00013529489,0
22000000,0.014089949,0.0068568867,0.00025540747,0
22948000,0.012346468,0.014030654,0.0002950746,0
24004000,0.013295545,0.022856908,0.00045125306,0
24952000,0.008344099,0.015791452,0.00037328547,0
25952000,0.008344099,0.015791452,0.00037328547,1
26952000,0.0062054843,0.0014748848,4.980311e-06,0
28000000,0.0072850687,0.010414107,4.731265e-05,1
28948000,0.0072850687,0.010414107,4.731265e-05,1
30000000,0.0067183906,0.00088168855,9.8499935e-05,0
30956000,0.010017276,0.0008809115,0.000110347595,0
31948000,0.006698219,0.00462071,4.050387e-05,0
32952000,0.0037577467,0.0094453925,0.00018713613,0
33948000,0.005960928,0.0017125122,0.00016752703,0
34948000,0.013732957,0.026609112,0.00020963709,0
35952000,0.0060505844,0.013979657,0.0002182626,0
36956000,0.0043720515,0.008248216,0.00020121918,0
37956000,0.010520803,0.0076360125,0.00016235825,0
38948000,0.009902925,0.016402414,0.00016164387,1
39956000,0.0014343333,0.001932668,0.0,0
40948000,0.001440108,0.0044080066,0.00010302418,0
41956000,0.0101869255,0.009039253,9.31592e-05,0
42948000,0.0095194,0.00045400998,7.244351e-05,0
43948000,0.0074833985,0.0033866446,8.5242646e-05,0
45000000,0.011918856,0.028772186,0.00018315428,0
46000000,0.018342309,0.027708301,0.00016791487,0
47000000,0.01836813,0.022721376,0.00019675134,0
47952000,0.024216417,0.014794594,0.00017891353,0
48956000,0.022633791,0.012389962,0.00016191199,0
49952000,0.0197354,0.009089234,5.246578e-05,0
51000000,0.017022096,0.0061242064,5.042352e-05,1
51956000,0.007721354,0.023148233,0.0,0
53000000,0.013359458,0.002588085,5.0967694e-05,1
54000000,0.013359458,0.002588085,5.0967694e-05,1
54952000,0.004649625,0.0009926752,5.5999997e-05,1
55952000,0.004649625,0.0009926752,5.5999997e-05,1
56948000,0.0032601217,0.0017656568,0.00019565578,0
57956000,0.0123938145,0.006132122,0.00025854408,0
58952000,0.011933433,0.015427266,0.00020776565,1
59952000,0.011933433,0.015427266,0.00020776565,1
60952000,0.011933433,0.015427266,0.00020776565,1
61956000,0.011933433,0.015427266,0.00020776565,1
62964000,0.011933433,0.015427266,0.00020776565,1
63948000,0.011933433,0.015427266,0.00020776565,1
65000000,0.011933433,0.015427266,0.00020776565,1
66000000,0.008944679,0.005397713,4.485093e-07,0
66656000,0.0057358067,0.011883187,4.6388235e-05,0
99008000,0.0057358067,0.011883187,4.6388235e-05,1
99048000,0.0057358067,0.011883187,4.6388235e-05,1
100008000,0.0057358067,0.011883187,4.6388235e-05,1
101016000,0.0020503327,0.006182258,0.0,1
