timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
192640790,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,8,0,255,0,0,1
200646773,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,8,0,255,0,0,1
201366080,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,8,0,255,0,0,1
201468730,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,8,0,255,0,0,1
201568976,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,8,0,255,0,0,1
204580148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,8,0,255,0,0,1
204583672,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,8,0,255,0,0,1
205602651,-1.0,0.0,2.0,3.0,0.0,0.0,666.0,183,8,0,255,0,0,1
215613223,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,8,0,255,0,0,1
215625722,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,8,0,255,0,0,1
235708379,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,8,0,255,0,0,1
235717738,5.465298045237432e-07,2.5131524239441205e-07,0.0,0.0,0.0,0.0,0.0,21,8,0,255,0,0,1
235721481,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,8,0,255,0,0,1
240895060,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,8,0,255,0,0,1
240904417,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,8,0,255,0,0,1
241392540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,8,0,255,0,0,1
