timestamp,speed_xy,speed_up,speed_down,want_takeoff
11792000,5.0,3.0,1.0,0
11812000,5.0,3.0,1.0,0
12796000,5.0,3.0,1.0,0
13780000,5.0,3.0,1.0,0
14780000,5.0,3.0,1.0,0
15780000,5.0,3.0,1.0,0
16780000,5.0,3.0,1.0,0
17784000,5.0,3.0,1.0,0
18784000,5.0,3.0,1.0,0
19780000,5.0,3.0,1.0,0
20784000,5.0,3.0,1.0,0
21784000,5.0,3.0,1.0,0
22792000,5.0,3.0,1.0,0
23788000,5.0,3.0,1.0,0
24788000,5.0,3.0,1.0,0
25792000,5.0,3.0,1.0,0
26784000,5.0,3.0,1.0,0
27792000,5.0,3.0,1.0,0
28784000,5.0,3.0,1.0,0
29788000,5.0,3.0,1.0,0
56964000,5.0,3.0,1.0,0
56984000,5.0,3.0,1.0,0
57948000,5.0,3.0,1.0,0
58964000,5.0,3.0,1.0,0
59964000,5.0,3.0,1.0,0
60948000,5.0,3.0,1.0,0
61952000,5.0,3.0,1.0,0
