timestamp,speed_xy,speed_up,speed_down,want_takeoff
11440000,5.0,3.0,1.0,0
11464000,5.0,3.0,1.0,0
12444000,5.0,3.0,1.0,0
13440000,5.0,3.0,1.0,0
14444000,5.0,3.0,1.0,0
15444000,5.0,3.0,1.0,0
16444000,5.0,3.0,1.0,0
17444000,5.0,3.0,1.0,0
18444000,5.0,3.0,1.0,0
19448000,5.0,3.0,1.0,0
20448000,5.0,3.0,1.0,0
21444000,5.0,3.0,1.0,0
22440000,5.0,3.0,1.0,0
23444000,5.0,3.0,1.0,0
24448000,5.0,3.0,1.0,0
25444000,5.0,3.0,1.0,0
26448000,5.0,3.0,1.0,0
27452000,5.0,3.0,1.0,0
28444000,5.0,3.0,1.0,0
29444000,5.0,3.0,1.0,0
30448000,5.0,3.0,1.0,0
31444000,5.0,3.0,1.0,0
32444000,5.0,3.0,1.0,0
33448000,5.0,3.0,1.0,0
34444000,5.0,3.0,1.0,0
35444000,5.0,3.0,1.0,0
36444000,5.0,3.0,1.0,0
37444000,5.0,3.0,1.0,0
38368000,5.0,3.0,1.0,0
74044000,5.0,3.0,1.0,0
74064000,5.0,3.0,1.0,0
75044000,5.0,3.0,1.0,0
76044000,5.0,3.0,1.0,0
77036000,5.0,3.0,1.0,0
78040000,5.0,3.0,1.0,0
79044000,5.0,3.0,1.0,0
