timestamp,speed_xy,speed_up,speed_down,want_takeoff
11792000,5.0,3.0,1.0,0
11809000,5.0,3.0,1.0,0
12788000,5.0,3.0,1.0,0
13788000,5.0,3.0,1.0,0
14788000,5.0,3.0,1.0,0
15788000,5.0,3.0,1.0,0
16788000,5.0,3.0,1.0,0
17792000,5.0,3.0,1.0,0
18796000,5.0,3.0,1.0,0
19796000,5.0,3.0,1.0,0
20788000,5.0,3.0,1.0,0
21796000,5.0,3.0,1.0,0
22788000,5.0,3.0,1.0,0
23796000,5.0,3.0,1.0,0
24788000,5.0,3.0,1.0,0
25772000,5.0,3.0,1.0,0
26792000,5.0,3.0,1.0,0
27792000,5.0,3.0,1.0,0
28796000,5.0,3.0,1.0,0
29788000,5.0,3.0,1.0,0
30788000,5.0,3.0,1.0,0
31788000,5.0,3.0,1.0,0
31928000,5.0,3.0,1.0,0
70888000,5.0,3.0,1.0,0
70912000,5.0,3.0,1.0,0
71872000,5.0,3.0,1.0,0
72872000,5.0,3.0,1.0,0
73872000,5.0,3.0,1.0,0
74892000,5.0,3.0,1.0,0
75872000,5.0,3.0,1.0,0
