timestamp,tilt_limit,takeoff_state
320730623,0.20943952,2
321738924,0.20943952,3
324958743,0.20943952,4
327966994,0.21064351,5
327977491,0.21274331,5
328964735,0.41019118,5
329963973,0.6100385,5
330853711,0.7853982,5
357914920,0.7841964,3
357925522,0.78208196,3
358915566,0.5840674,3
359907129,0.38576066,3
360790728,0.20943952,1
