timestamp,speed_xy,speed_up,speed_down,want_takeoff
11640000,5.0,3.0,1.0,0
11660000,5.0,3.0,1.0,0
12656000,5.0,3.0,1.0,0
13644000,5.0,3.0,1.0,0
14652000,5.0,3.0,1.0,0
15644000,5.0,3.0,1.0,0
16648000,5.0,3.0,1.0,0
17656000,5.0,3.0,1.0,0
18648000,5.0,3.0,1.0,0
19644000,5.0,3.0,1.0,0
20644000,5.0,3.0,1.0,0
21652000,5.0,3.0,1.0,0
22644000,5.0,3.0,1.0,0
23648000,5.0,3.0,1.0,0
24648000,5.0,3.0,1.0,0
25648000,5.0,3.0,1.0,0
26656000,5.0,3.0,1.0,0
27628000,5.0,3.0,1.0,0
27709000,5.0,3.0,1.0,0
54884000,5.0,3.0,1.0,0
54896000,5.0,3.0,1.0,0
55876000,5.0,3.0,1.0,0
56884000,5.0,3.0,1.0,0
57880000,5.0,3.0,1.0,0
58888000,5.0,3.0,1.0,0
59888000,5.0,3.0,1.0,0
